StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,electrons_know,electrons_accept,antibiotics_know,"antibiotics_accept ",continents_know,continents_accept,sex_know,sex_accept,lasers_know,lasers_accept,orbit_know,orbit_accept,diamonds_know,diamonds_accept,speed_know,speed_accept,salt_know,salt_accept,water_know,water_accept,electrons,electrons_confirm,antibiotics,antibiotics_confirm,continents,continents_confirm,sex,sex_confirm,lasers,"lasers_confirm ",orbit,"orbit_confirm ",diamonds,"diamonds_confirm ",speed,"speed_confirm ",salt,"salt_confirm ",water,"water_confirm ",Q1,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,"BCTI_autism ","BCTI_polio ",BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,reason_agreement,reason_agreement_3_TEXT,"reason_followup ",Q1,education,comments,PROLIFIC_PID
2024-04-22 15:58:48,2024-04-22 16:19:15,0,99.186.60.66,100,1227,1,2024-04-22 16:19:16,R_5i9ulFmTT1ysAUH,,,,,30.2712,-81.7529,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,1,,,,2,This was a great survey that everyone should know the answers to but refresher courses are always a welcome.Thank you.,65ff8d0f3dceb18d1efdac6c
2024-04-22 16:14:50,2024-04-22 16:19:26,0,57.132.130.92,100,276,1,2024-04-22 16:19:27,R_6oFIviSQwT3UhDY,,,,,30.0032,-97.8397,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,"There is evidence and a good amount of understand about these issues. There isn't as much understanding when it comes to things like vaccines. ",,5,,5c97df1f9e1eff001662ed96
2024-04-22 16:12:08,2024-04-22 16:19:44,0,172.59.109.117,100,455,1,2024-04-22 16:19:45,R_11hPPUdqoTONPVL,,,,,29.9509,-90.1007,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,I mostly agreed based on my personal knowledge.,,,4,Thank you for the opportunity to participate.,65dcdd8a214a774c36a0714b
2024-04-22 16:15:53,2024-04-22 16:19:51,0,184.97.231.26,100,237,1,2024-04-22 16:19:51,R_29IZhYe64bO5w9X,,,,,38.5423,-92.1529,anonymous,EN,1,1,1,1,8,1,1,2,7,1,7,1,10,2,1,1,1,1,11,1,1,1,,,,,The earth is not millions of years old.,7,,,,,"The earth is flat and stationary. ",5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,"Through many sources, including my own common sense and a lifetime of research into these matters.",,2,,6584461360db3318b8baee08
2024-04-22 16:14:37,2024-04-22 16:20:57,0,172.59.121.252,100,379,1,2024-04-22 16:20:58,R_21RghEJbfD3gZTH,,,,,35.4619,-97.3932,anonymous,EN,1,1,1,1,8,1,1,1,7,1,1,1,10,1,7,1,11,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,,"I used the information that I have learned in school and in the past. ",,2,none,58d552e09dbe3f00012591f2
2024-04-22 16:18:32,2024-04-22 16:22:18,0,172.56.199.146,100,226,1,2024-04-22 16:22:19,R_2EN62iisqXBXjnb,,,,,42.2904,-71.0712,anonymous,EN,1,1,6,1,7,1,1,1,1,1,7,1,10,1,1,1,11,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,,"Most things I knew already as some were common knowledge ",,4,,5e3079c558a8c8073fdb1ff9
2024-04-22 16:20:06,2024-04-22 16:23:43,0,73.76.42.167,100,216,1,2024-04-22 16:23:44,R_4RbYYZKjEpa9qyB,,,,,29.7953,-95.4968,anonymous,EN,1,1,1,1,8,1,7,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,My gut instinct.,,2,,657327316173c2bd86323378
2024-04-22 16:21:07,2024-04-22 16:26:19,0,107.141.202.118,100,312,1,2024-04-22 16:26:20,R_3E1dreHaxshJj6o,,,,,34.4941,-92.5901,anonymous,EN,1,1,6,1,7,1,1,1,7,1,7,1,10,1,1,1,11,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,40,70,30,50,60,8,,5,6,7,9,1,9,5,5,9,9,,,,2,,"Most was knowledge I already knew, however if I were to find out or look up info, I would simply consult the internet",,2,,5af1c4dfaec2b600010a96c9
2024-04-22 16:15:02,2024-04-22 16:28:07,0,97.101.0.212,100,785,1,2024-04-22 16:28:08,R_2VwlRP1Hnexcr2M,,,,,28.3939,-81.4216,anonymous,EN,1,1,1,1,1,1,1,1,7,1,1,1,10,1,1,1,1,1,11,1,11,2,,,,,,,,,,,,,,,,,,,I got it confused. Its true. One oxygen and  2 hydrogen is what i learned in school.,4,,50,70,20,30,40,7,,4,8,7,2,1,6,7,7,2,1,,,,2,,I thought about what i was told in school.,,3,,655faf236682f3df8008ac81
2024-04-22 16:15:45,2024-04-22 16:29:14,0,172.58.120.100,100,808,1,2024-04-22 16:29:14,R_2v1gxf7l5vDL8Nn,,,,,42.4261,-83.2514,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,40,60,80,80,80,7,,5,7,6,6,5,5,5,8,6,2,,,,2,,"I checked reliable sources, and I knew most of them from learning this information in science class. ",,3,Thank you,660ad11f945fa3dbc5fc3e65
2024-04-22 16:24:27,2024-04-22 16:30:01,0,174.214.49.70,100,333,1,2024-04-22 16:30:01,R_7q7GFFotXknCY4l,,,,,39.2051,-85.9324,anonymous,EN,1,1,1,1,7,1,1,1,7,1,7,1,1,1,7,1,11,1,1,1,11,1,,,,,,,,,,,,,,,,,,,,,,90,90,80,80,90,8,,5,9,9,5,1,1,1,9,9,1,4,4,4,,,,,3,N/A,652d8afc5aaab078ef2baeb3
2024-04-22 16:26:10,2024-04-22 16:30:07,0,24.3.3.194,100,237,1,2024-04-22 16:30:08,R_3PnHW13V6pCEXAf,,,,,40.3177,-79.7223,anonymous,EN,1,1,1,1,8,1,1,1,1,2,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,"Yes.  Its normal to think that, however, not always.",4,,,,,,,,,,,,,,100,50,50,80,70,8,,1,1,1,6,1,6,5,7,5,1,3,3,3,,,,,6,,629e1738fcc7d0b6acfe5280
2024-04-22 16:27:36,2024-04-22 16:31:32,0,76.186.121.147,100,235,1,2024-04-22 16:31:33,R_7yjgSq421EkDqvT,,,,,33.0326,-96.7859,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,11,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,50,80,70,60,80,7,,5,8,6,3,1,8,7,8,8,3,,,,1,,,,5,,5c6ef14c2cd3cb0001fadd0e
2024-04-22 16:27:55,2024-04-22 16:32:27,0,174.240.119.81,100,272,1,2024-04-22 16:32:28,R_5RqIBjjG26TWcPQ,,,,,42.9178,-85.6995,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,some things are obvious and don't need verification,,3,,63d698af12a4d488c5fdf05a
2024-04-22 16:28:04,2024-04-22 16:35:33,0,174.228.33.39,100,448,1,2024-04-22 16:35:34,R_2KUyfqRIa63W9I9,,,,,41.2231,-95.8756,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,5,8,9,9,1,7,6,8,9,1,,,,2,,Research on my own as opposed to jist blindly following what the media is told to tell me.,,6,No,654a5cddb6eb3f899ca2e126
2024-04-22 16:27:24,2024-04-22 16:36:40,0,174.229.119.214,100,556,1,2024-04-22 16:36:41,R_7RtL5WgSGQjLZo5,,,,,42.3858,-88.3547,anonymous,EN,1,1,6,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,70,50,10,30,40,4,,9,9,6,1,1,6,7,9,1,1,,,,1,,,,6,,63ed0065eb23ac3ee1726453
2024-04-22 16:31:34,2024-04-22 16:36:43,0,75.201.150.119,100,309,1,2024-04-22 16:36:43,R_7PdcDwa4lNSYu92,,,,,34.7734,-92.2573,anonymous,EN,1,1,1,1,1,1,1,1,7,1,1,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,50,100,40,30,80,6,,1,1,3,6,1,3,5,6,6,2,3,3,2,,,,,5,,65f4b5d1a054a5cc2f5140b2
2024-04-22 16:27:08,2024-04-22 16:37:24,0,166.199.149.78,100,616,1,2024-04-22 16:37:24,R_34oSp5CJJWDpEhf,,,,,28.6344,-81.6221,anonymous,EN,1,1,6,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,1,,,,2,"I believe some scientists work for the government, not in the best interest of everyday average people. I believe the government hides certain things from us.",6600c0b08f68f313132f20e1
2024-04-22 16:31:39,2024-04-22 16:44:11,0,174.26.20.220,100,751,1,2024-04-22 16:44:11,R_5QivCKhRJJKUbS1,,,,,33.508,-112.0995,anonymous,EN,1,1,1,1,8,1,7,2,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,The Earth was created aged by God and has not been around for millions of years. I do not believe in evolution but rather creation based on the Word of God.,7,,,,,,,,,,,,,,,,40,70,30,10,10,4,,1,2,2,7,1,6,5,1,6,1,2,2,2,,,,,4,Thank you,64139f74c36da8c35b846024
2024-04-22 16:36:17,2024-04-22 16:44:16,0,172.58.254.3,100,479,1,2024-04-22 16:44:17,R_6P7lzKagfLSMz0c,,,,,35.2296,-80.843,anonymous,EN,1,1,1,1,1,1,1,1,9,1,7,1,10,1,7,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,,3,,5e0777b6814bba1033f6a396
2024-04-22 16:43:08,2024-04-22 16:50:28,0,98.197.8.196,100,440,1,2024-04-22 16:50:29,R_5riRUa0rQFmg3iZ,,,,,29.5718,-95.1305,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,90,90,80,50,80,8,,3,5,8,6,2,6,5,8,7,2,,,,1,,,,6,,65eb6bdb082c131dbe1c1ea0
2024-04-22 16:45:50,2024-04-22 16:51:43,0,97.157.242.113,100,353,1,2024-04-22 16:51:44,R_1jwfbHAgRUwS1sC,,,,,42.437,-82.99,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,80,90,90,80,80,8,,3,5,8,2,1,5,5,3,5,2,,,,2,,extensive research,,4,,660746e980779d05e621c506
2024-04-22 16:45:47,2024-04-22 16:52:20,0,173.207.75.75,100,393,1,2024-04-22 16:52:21,R_7TSJsLO4ryShRO8,,,,,36.0428,-89.3916,anonymous,EN,1,1,6,1,7,1,1,1,7,1,1,1,10,1,7,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,70,50,70,6,,9,9,6,9,9,7,6,7,5,6,2,3,3,,,,,3,,65b95ab3dd58f84b0ebf0e0b
2024-04-22 16:30:55,2024-04-22 16:54:54,0,73.106.82.194,100,1439,1,2024-04-22 16:54:54,R_1OkssA0kehOk9jd,,,,,33.584,-84.2751,anonymous,EN,1,1,1,1,8,1,7,1,7,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,90,90,60,70,70,5,,5,5,5,5,5,5,5,5,5,5,,,,2,,I verified it with what then knowledge I know,,5,,63d14ff7972a4863e876777c
2024-04-22 16:40:48,2024-04-22 16:54:56,0,24.20.86.219,100,847,1,2024-04-22 16:54:56,R_3QY9BB0jTkoT2E0,,,,,45.4804,-122.5891,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,9,9,9,9,9,9,9,9,9,9,1,1,1,,,,,3,Engaging,64d56b61fa74be3bd567252c
2024-04-22 16:46:13,2024-04-22 16:54:59,0,174.214.49.13,100,526,1,2024-04-22 16:55:00,R_3dFzUN7HdoHBY53,,,,,39.2051,-85.9324,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,70,50,10,20,20,3,,1,5,7,7,1,7,3,5,7,8,,,,1,,,,5,"Thank you ",56494d5b6902220012c4acb7
2024-04-22 16:41:48,2024-04-22 16:55:02,0,172.58.244.252,100,793,1,2024-04-22 16:55:02,R_7DAXxlvh6D0scJ2,,,,,38.9034,-76.9882,anonymous,EN,1,1,1,1,7,1,7,2,7,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,"I do not believe that the universe is millions of years old ",7,,,,,,,,,,,,,,,,100,100,100,100,100,9,,1,9,9,5,1,9,1,9,1,1,2,2,3,,,,,5,I have no additional comments to add,65fa1769407061426eb0dc37
2024-04-22 16:48:37,2024-04-22 16:55:26,0,163.182.90.137,100,408,1,2024-04-22 16:55:27,R_2m4wrAVsnkg1sQV,,,,,38.942,-84.404,anonymous,EN,1,1,1,1,8,1,1,2,7,1,1,1,10,1,1,1,1,1,11,1,1,1,,,,,I do not believe the theory that the earth is that old.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,I have never seen compelling evidence to disprove the consensus.,,,4,,65e8cf8f4c7424fa062e54a3
2024-04-22 16:38:55,2024-04-22 16:55:57,0,24.211.187.108,100,1022,1,2024-04-22 16:55:58,R_2zj4NNYa9yVWWpC,,,,,36.0558,-78.2612,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,70,80,100,8,,6,6,7,6,5,9,8,5,7,4,,,,1,,,,5,,65d90ea9ac22aa7ebcee2225
2024-04-22 16:55:44,2024-04-22 17:02:28,0,173.63.170.197,100,403,1,2024-04-22 17:02:28,R_2WTPQXPyg2GRZwK,,,,,40.7238,-74.2293,anonymous,EN,1,1,3,1,8,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,50,100,9,,5,9,9,1,1,5,5,9,5,1,3,3,2,,,,,6,,6602ce6267191d285a324221
2024-04-22 16:55:39,2024-04-22 17:04:12,0,74.196.175.31,100,512,1,2024-04-22 17:04:12,R_3Dqi1lzNk5tfFdJ,,,,,32.3251,-95.2981,anonymous,EN,1,1,6,2,1,2,1,2,7,1,1,1,10,1,7,2,1,1,1,1,1,2,Because I would like to see more research on this matter.,7,Because I would like to see more research on this matter.,5,Because I would like to see more research on this matter.,7,,,,,,,Because I would like to see more research on this matter.,5,,,,,Because I would like to see more research on this matter.,5,,,,,,,,,,,,,,,,,,,2,2,3,1,,,,5,none,65e9ced91365812f0b0bea04
2024-04-22 16:49:38,2024-04-22 17:04:38,0,73.160.183.156,100,899,1,2024-04-22 17:04:39,R_1P5pw8sPTbit5sG,,,,,39.9111,-74.1469,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,70,80,70,60,70,7,,1,5,6,3,4,7,6,5,9,6,3,3,3,,,,,2,"Not at this time. ",63644514902f60174b4b29a1
2024-04-22 16:58:31,2024-04-22 17:04:57,0,40.132.214.149,100,386,1,2024-04-22 17:04:58,R_3hru2EQLsSu09U4,,,,,34.5701,-83.3091,anonymous,EN,1,1,1,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,,I remember some of the stuff from school.,,1,no,61bb392e40db417c1a138dcb
2024-04-22 16:54:48,2024-04-22 17:05:48,0,75.46.231.17,100,658,1,2024-04-22 17:05:48,R_1QE3bwVXpMHZTpf,,,,,29.7376,-95.521,anonymous,EN,1,1,6,1,8,1,1,1,7,1,7,1,10,1,7,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,90,80,70,70,80,7,,5,8,6,2,5,7,5,6,5,3,,,,2,,I clicked on two out of three of the links for most statements that I was unsure about.,,3,No,574eab79c18847000e071119
2024-04-22 16:48:12,2024-04-22 17:05:51,0,73.252.109.243,100,1058,1,2024-04-22 17:05:51,R_1QLMV68f7jO2nRS,,,,,32.6047,-93.8761,anonymous,EN,1,1,1,1,1,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,50,100,50,100,9,,1,6,9,1,1,9,5,9,4,1,3,3,4,,,,,3,"THIS WAS INTERESTING. MANY OF THESE QUESTIONS ABOUT COVER-UPS WERE OBVIOUS TO ME BUT I CAN'T SAY THAT MUCH OF THE POPULATION REALIZES THIS, UNFORTUNATELY. THERE IS A SECRET KABAL OF PEOPLE WHO REALLY RUN THE WORLD. THE ONES THAT OWN THE OIL COMPANIES, BANKS, PHARMACEUTICAL COMPANIES, ETC... THE FACT THAT WE HAVE BEEN MANIPULATED INTO THINKING THIS IS REALITY IS PERHAPS THE BIGGEST COVER-UP. WE ARE CONSTANTLY DISTRACTED FROM THE TRUE REALITY AND TAUGHT FROM A VERY YOUNG AGE HOW WE ARE ""SUPPOSED"" TO THINK, AND WHAT HISTORY WE ARE ""SUPPOSED"" TO REMEMBER. THERE HAVE BEEN COUNTLESS INVENTIONS THAT WOULD HAVE ALMOST COMPLETELY ELIMINATED THE NEED FOR PETROLEUM. ENERGY FROM THE SPACE AROUND US THAT WOULD FILL A COFFEE CUP COULD BOIL AND EVAPORATE ALL THE OCEANS. BUT, THE INVENTORS THINK THEY SHOULD KEEP THESE A SECRET AND FILE A PATENT TO GET RICH. THEN THEY MYSTERIOUSLY DIE OR DISAPPEAR, ALONG WITH THEIR RESEARCH AND INVENTIONS. THE POINTLESS POVERTY IN THE WORLD WOULD DISAPPEAR VIRTUALLY OVERNIGHT IF THIS WASN'T THE CASE. BUT, SOMEONE HAS TO BE INCREDIBLY RICH AND POWERFUL I SUPPOSE.",5ca88c7900dbf0000127c5d5
2024-04-22 17:01:45,2024-04-22 17:06:24,0,174.240.117.34,100,279,1,2024-04-22 17:06:25,R_5jUp7LBMa5GHqk9,,,,,42.9178,-85.6995,anonymous,EN,1,1,6,1,1,1,1,1,9,1,1,1,10,1,7,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,50,100,50,60,90,9,,5,6,8,7,2,9,8,5,9,1,3,3,3,,,,,3,,65ff6765704c89daf32f6ddd
2024-04-22 16:59:55,2024-04-22 17:07:20,0,73.206.20.93,100,444,1,2024-04-22 17:07:20,R_57rYYXBiRAuAlzP,,,,,29.9762,-95.6401,anonymous,EN,1,1,6,1,8,1,7,1,9,1,1,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,9,9,9,9,9,9,9,9,9,9,,,,2,,I have a lot of people who do deep research that verified the info.,,5,no,6266aa7132e3a5bf1631ac1b
2024-04-22 17:05:09,2024-04-22 17:11:12,0,66.177.56.16,100,363,1,2024-04-22 17:11:13,R_58e50lweZ5p5eKt,,,,,30.3511,-81.506,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,2,10,1,7,1,11,1,1,2,1,1,,,,,,,,,That’s the truth,4,,,,,,,"I wasn’t sure ",4,,,,70,50,50,50,80,7,,1,6,5,5,1,6,5,1,5,1,3,3,3,,,,,2,,5b21c4ab31d0080001b9f55e
2024-04-22 17:05:14,2024-04-22 17:11:33,0,35.139.160.50,100,378,1,2024-04-22 17:11:33,R_5qgTJhQOtfuVW2G,,,,,27.9162,-82.7299,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,80,90,90,8,,1,8,8,6,1,9,9,6,9,1,3,3,4,,,,,5,,5d7047d764b37b0017ffa710
2024-04-22 17:08:27,2024-04-22 17:13:11,0,162.205.163.207,100,283,1,2024-04-22 17:13:11,R_3pVtQqym8FVwVG2,,,,,37.2103,-93.3046,anonymous,EN,1,1,1,1,7,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,9,,1,7,6,5,1,5,5,8,1,1,,,,1,,,,3,,5f50732850c7c600098593df
2024-04-22 17:02:47,2024-04-22 17:14:05,0,108.145.161.34,100,677,1,2024-04-22 17:14:05,R_8FyzecR63HueHBE,,,,,40.8768,-74.0867,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,50,40,100,100,9,,5,5,8,5,5,8,5,9,9,2,3,3,3,,,,,3,"Thank you for the opportunity to participate. ",655f674bdba72a1c9b1bf638
2024-04-22 17:11:44,2024-04-22 17:16:18,0,113.30.253.66,100,273,1,2024-04-22 17:16:19,R_56kVztns73Y7fGh,,,,,47.539,-100.8839,anonymous,EN,1,1,6,1,8,1,1,1,7,1,1,1,1,1,7,1,1,1,11,1,11,1,,,,,,,,,,,,,,,,,,,,,,80,90,70,80,70,7,,3,9,9,5,1,7,7,8,6,1,2,3,3,,,,,3,,5a09ebdf087f2e0001eae39f
2024-04-22 17:08:19,2024-04-22 17:17:16,0,174.203.4.241,100,537,1,2024-04-22 17:17:17,R_615EtVtzrw2I0t8,,,,,29.7738,-95.406,anonymous,EN,1,1,1,1,8,1,1,1,9,1,1,1,10,1,7,2,11,2,1,1,1,1,,,,,,,,,,,,,,4,,4,,,,,,60,70,40,30,70,5,,1,2,6,3,1,6,3,3,1,1,,,,2,,"Just various amounts of research online. There have been times where simple questions were simply ignored or answered in a perplexing manner. Those types of answers always raise a flag. ",,6,"Interesting survey! I learned some new stuff. ",66183558fbb603eb292458d0
2024-04-22 17:13:12,2024-04-22 17:18:52,0,69.40.194.48,100,339,1,2024-04-22 17:18:52,R_7txvji6t19wL7ya,,,,,35.5039,-80.6338,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,80,90,90,80,80,7,,5,7,5,5,1,7,5,4,3,5,3,3,2,,,,,5,,66240654c422622ea306c07a
2024-04-22 17:13:44,2024-04-22 17:19:27,0,99.146.254.61,100,343,1,2024-04-22 17:19:28,R_1tm09MyNkJ1cRNv,,,,,29.7452,-95.7327,anonymous,EN,1,1,1,1,1,1,1,1,7,1,7,1,7,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,9,,5,1,9,1,1,9,9,9,5,1,3,3,3,,,,,5,,6238dfab577ecd4adb97a917
2024-04-22 17:12:59,2024-04-22 17:23:44,0,174.212.227.145,100,645,1,2024-04-22 17:23:45,R_2da8ixDumwjNMfF,,,,,39.7388,-104.9868,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,40,30,30,20,20,4,,2,4,4,3,1,5,4,5,5,1,,,,1,,,,5,Interesting questions! (Especially since I knew the answer to most of them. Am a science nerd!),5de7d10810088f749c347bb6
2024-04-22 17:18:16,2024-04-22 17:24:49,0,24.96.42.153,100,393,1,2024-04-22 17:24:49,R_29cxlDhM9UONonr,,,,,34.7095,-86.7361,anonymous,EN,1,1,1,1,8,1,1,1,9,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,2,,By  the knowledge I already had.,,2,,63d7c7cc6818efd3fd8dfc80
2024-04-22 17:20:13,2024-04-22 17:26:21,0,47.135.225.163,100,368,1,2024-04-22 17:26:22,R_7b28iotaKUJjrh6,,,,,35.4875,-80.9876,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,7,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,,Some of these questions I remember from high school. And I learned this in science. Therefore I do remember alot of these questions.,,3,Thank You,612bb0204ad8e7e8bed041eb
2024-04-22 17:17:23,2024-04-22 17:26:37,0,173.27.185.86,100,553,1,2024-04-22 17:26:37,R_52sZIllGQ2ZdgFH,,,,,30.4003,-87.0288,anonymous,EN,1,1,1,1,1,1,1,2,7,1,7,1,1,1,1,1,1,1,11,1,11,2,,,,,"The Earth has only been around for 6-7 thousand years. As far as I know however, the Continents have been moving.",7,,,,,,,,,,,,,"thought it was ""2 parts oxide, one hydrogen."" I was of course wrong. I also miss clicked the wrong answer for how long it takes the Earth the revolve around the sun... I think.",4,,10,50,40,10,100,5,,1,5,9,1,1,5,5,5,5,1,2,2,2,,,,,3,"Dinosaurs existed, evolution is a false theory.",5e8b89d0afcb1606e761ef7f
2024-04-22 17:22:54,2024-04-22 17:26:54,0,172.56.55.180,100,239,1,2024-04-22 17:26:54,R_5Y0j1OIfmKkrD0Z,,,,,29.7912,-95.4182,anonymous,EN,1,1,1,1,8,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,,,,6,,64dd0d6827d312a7fe7e84bd
2024-04-22 17:24:36,2024-04-22 17:27:57,0,162.226.141.184,100,201,1,2024-04-22 17:27:57,R_3gpe22unlFWUNKp,,,,,25.4931,-80.4344,anonymous,EN,1,1,1,1,8,1,1,1,7,1,7,1,10,1,7,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,60,60,50,20,40,6,,1,5,6,1,1,7,5,3,5,1,3,3,3,,,,,5,,65981a1325b701ea0f820160
2024-04-22 17:18:48,2024-04-22 17:32:40,0,73.105.132.15,100,832,1,2024-04-22 17:32:41,R_2jZvtj7haK45r7b,,,,,29.797,-81.9884,anonymous,EN,1,1,6,1,8,1,7,1,7,1,7,1,10,1,1,1,1,1,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,80,100,50,80,90,8,,4,7,8,6,3,7,7,5,7,8,2,3,2,,,,,3,No,6612bf98687129c04038e292
2024-04-22 17:23:38,2024-04-22 17:33:33,0,66.249.253.246,100,594,1,2024-04-22 17:33:33,R_2lD0O3zGvpiKNTr,,,,,41.1499,-85.2057,anonymous,EN,1,1,6,2,8,1,7,2,9,1,1,1,10,1,7,2,11,1,11,1,11,2,I believe atoms are the smallest particles.,7,,,"On second thought, I agree.",5,,,,,,,"On second thought, I believe I agree.",4,,,,,This does not fit according to my recollection.,5,,50,40,60,30,60,6,,3,4,7,5,6,4,5,6,8,4,2,2,2,,,,,5,Thank you.,63225b65b2d6e889f7289909
