reference,screening,extent,Reason,Additional Reason,Additional remarks
"Simko, J., Hanakova, M., Racsko, P., Tomlein, M., Moro, R., & Bielikova, M. (2019). Fake News Reading on Social Media: An Eye-tracking Study. Proceedings of the 30th ACM Conference on Hypertext and Social Media, 221–230. https://doi.org/10.1145/3342220.3343642",full text,fully,criterion_2,,some of the fake news articles were made up by the authors
"Corbu, N., Bârgăoanu, A., Buturoiu, R., & Ștefăniță, O. (2020). Does fake news lead to more engaging effects on social media? Evidence from Romania. Communications, 45(s1), 694–717. https://doi.org/10.1515/commun-2019-0152",full text,fully,criterion_2,,study relied on a single news items that researchers created various versions of (among which some that were factually not accurate)
"Garg, N., & Yadav, M. (n.d.). Fact-Checking and Beliefs: Field Experiment in India [Data set]. American Economic Association. https://doi.org/10.1257/rct.7923",full text,fully ,criterion_4.1,,"does not report relevant summary stats; we contacted the authors three times because India and great study, but no response, so dissapointing. "
"Baptista, J. P., Correia, E., Gradim, A., & Piñeiro-Naval, V. (2021). The Influence of Political Ideology on Fake News Belief: The Portuguese Case. Publications, 9(2), 23. https://doi.org/10.3390/publications9020023",full text,fully ,EXCEPTION,,"they use a very asymmetric scale, and results favor our hypotheses, including it seems like cheating"
"Calvillo, D. P., & Smelter, T. J. (2020). An initial accuracy focus reduces the effect of prior exposure on perceived accuracy of news headlines. Cognitive Research: Principles and Implications, 5(1), 55. https://doi.org/10.1186/s41235-020-00257-y",full text,fully,criterion_4.2,,no clear control condition (we collected data anyways but exclude it for our analysis)
Emma Hoes et al. (2023) Prominent Misinformation Interventions Reduce Misperceptions but Increase Skepticism,full text,fully,criterion_5,,"researchers made up their fake news items (we collected data anyways, since didn't realize this first, but will exclude this data from all analysis)"
"Gehle, L., Hameleers, M., Tulin, M., de Vreese, C. H., Aalberg, T., Van Aelst, P., Cardenal, A. S., Corbu, N., van Erkel, P., Esser, F., Halagiera, D., Hopmann, D. N., Koc-Michalska, K., Matthes, J., Meltzer, C., Splendore, S., Stanyer, J., Stępińska, A., Štětka, V., … Zoizner, A. (2024). Misinformation Detection in the Context of the Russian Invasion of Ukraine: Evidence from Original Survey Data Collected in 19 Democracies. International Journal of Public Opinion Research.",abstract,fully,criterion_1,,"data has already been included under Hameleers, M., Tulin, M., De Vreese, C., Aalberg, T., Van Aelst, P., Cardenal, A. S., Corbu, N., Van Erkel, P., Esser, F., Gehle, L., Halagiera, D., Hopmann, D., Koc‐Michalska, K., Matthes, J., Meltzer, C., Mihelj, S., Schemer, C., Sheafer, T., Splendore, S., … Zoizner, A. (2023). Mistakenly misinformed or intentionally deceived? Mis‐ and Disinformation perceptions on the Russian War in Ukraine among citizens in 19 countries. European Journal of Political Research, 1475-6765.12646. https://doi.org/10.1111/1475-6765.12646"
"Pereira, F. B., Bueno, N. S., Nunes, F., & Pavão, N. (2023). Inoculation Reduces Misinformation: Experimental Evidence from Multidimensional Interventions in Brazil. Journal of Experimental Political Science, 1–12. https://doi.org/10.1017/XPS.2023.11",full text,partly,criterion_2,,"we exclude study one because it only measured acceptance of false news. We include, however, study 2 which is about both"
"Angelucci, C., & Prat, A. (2024). Is Journalistic Truth Dead? Measuring How Informed Voters Are about Political News. American Economic Review, 114(4), 887–925. https://doi.org/10.1257/aer.20211003",full text,fully,criterion_4,,"they basically told participants: here are 6 news items, which are the three true ones?. To be a valid entry for our analysis, we have to assume that selecting one item as true is equal to rating it as ""accurate"" on a binary accuracy rating scale. That does not seem sound, because ratings of true and false news are not independent of each other, and in this way it differs from the other studies."
"Ford, T., Yankoski, M., Facciani, M., & Weninger, T. (2023). Online media literacy intervention in Indonesia reduces misinformation sharing intention. Journal of Media Literacy Education, 15(2), 99–123. https://doi.org/10.23860/JMLE-2023-15-2-8",full text,fully,criterion_4.1,criterion_5,"they write that they ""generated"" items, and no further explanation, so we assume they did not use real world headlines. no relevant summary statistics or data available "
"Koetke, J., Schumann, K., Porter, T., & Smilo-Morgan, I. (2023). Fallibility Salience Increases Intellectual Humility: Implications for People’s Willingness to Investigate Political Misinformation. Personality and Social Psychology Bulletin, 49(5), 806–820. https://doi.org/10.1177/01461672221080979",full text,partly,criterion_2,criterion_5,"we included study one, but not study two (only on misinformation) and study three (not investigating news items veracity judgements at all)"
"Lu, C., Hu, B., Li, Q., Bi, C., & Ju, X.-D. (2023). Psychological Inoculation for Credibility Assessment, Sharing Intention, and Discernment of Misinformation: Systematic Review and Meta-Analysis. Journal of Medical Internet Research, 25(1), e49255. https://doi.org/10.2196/49255",abstract,fully ,criterion_1,,a meta analysis with no original data
"Seo, H., Xiong, A., & Lee, D. (2019). Trust It or Not: Effects of Machine-Learning Warnings in Helping Individuals Mitigate Misinformation. Proceedings of the 10th ACM Conference on Web Science, 265–274. https://doi.org/10.1145/3292522.3326012",full text,fully,criterion_4.1,,do not provide relevant summary stats (the sd's)
"Hameleers, M., & van der Meer, T. (2023). Striking the balance between fake and real: Under what conditions can media literacy messages that warn about misinformation maintain trust in accurate information? Behaviour & Information Technology, 0(0), 1–13. https://doi.org/10.1080/0144929X.2023.2267700",full text,fully,criterion_4.1,,do not provide relevant summary stats
"Stoeckel, F., Stöckli, S., Ceka, B., Ricchi, C., Lyons, B., & Reifler, J. (2024). Social corrections act as a double-edged sword by reducing the perceived accuracy of false and real news in the UK, Germany, and Italy. Communications Psychology, 2(1), 1–17. https://doi.org/10.1038/s44271-024-00057-w",full text,fully,criterion_4.1,,no relevant summary stats and their data documentation does not permit us to analyze it
"Levari, D., Martel, C., Orchinik, R., Bhui, R., Seli, P., Pennycook, G., & Rand, D. (2024). Blatantly false news increases belief in news that is merely implausible. OSF. https://doi.org/10.31234/osf.io/cz7vy",full text,fully,criterion_4.1,,do not provide relevant summary stats and no data available
"Hu, B., Ju, X.-D., Liu, H.-H., Wu, H.-Q., Bi, C., & Lu, C. (2023). Game-based inoculation versus graphic-based inoculation to combat misinformation: A randomized controlled trial. Cognitive Research: Principles and Implications, 8(1), 49. https://doi.org/10.1186/s41235-023-00505-x",full text,fully,criterion_4.1,,do not provide relevant summary stats and their data does not allow to calculate accuracy ratings (they only provide summarized data for discernment)
"Maertens, R., Roozenbeek, J., Basol, M., & Van Der Linden, S. (2021). Long-term effectiveness of inoculation against misinformation: Three longitudinal experiments. Journal of Experimental Psychology: Applied, 27(1), 1–16. https://doi.org/10.1037/xap0000315",full text,fully,criterion_5,,they made up their fake news
"Roozenbeek, J., van der Linden, S., Goldberg, B., Rathje, S., & Lewandowsky, S. (2022). Psychological inoculation improves resilience against misinformation on social media. Science Advances, 8(34), eabo6254. https://doi.org/10.1126/sciadv.abo6254",full text,fully,criterion_5,,they made up all items
"Scheufele, D. A., & Krause, N. M. (2019). Science audiences, misinformation, and fake news. Proceedings of the National Academy of Sciences, 116(16), 7662–7669. https://doi.org/10.1073/pnas.1805871115",full text,fully,criterion_1,,review article
"Zhou, X., & Zafarani, R. (2021). A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities. ACM Computing Surveys, 53(5), 1–40. https://doi.org/10.1145/3395046",full text,fully,criterion_1,,theoretical and review article
"Aslett, K., Sanderson, Z., Godel, W., Persily, N., Nagler, J., Bonneau, R., & Tucker, J. A. (2023). Testing the Effect of Information on Discerning the Veracity of News in Real Time. Journal of Experimental Political Science, 1–15. https://doi.org/10.1017/XPS.2023.20",full text,fully,criterion_1,,"from double checking their pre-registrations, it seems like the data is the same as in their nature paper (although the latter includes more studies), which we included already;

  Aslett, K., Sanderson, Z., Godel, W., Persily, N., Nagler, J., & Tucker, J. A. (2024). Online searches to evaluate misinformation can increase its perceived veracity. Nature, 625(7995), 548–556. https://doi.org/10.1038/s41586-023-06883-y
  "
"Jia, C., Boltz, A., Zhang, A., Chen, A., & Lee, M. K. (2022). Understanding Effects of Algorithmic vs. Community Label on Perceived Accuracy of Hyper-partisan Misinformation. Proceedings of the ACM on Human-Computer Interaction, 6(CSCW2), 371:1-371:27. https://doi.org/10.1145/3555096",full text,fully,criterion_4.1,,do not provide relevant summary statistics; also relied on tweets and not clear if these are tweets from news outlets
"Pillai, R. M., & Fazio, L. K. (2021). The effects of repeating false and misleading information on belief. WIREs Cognitive Science, 12(6), e1573. https://doi.org/10.1002/wcs.1573",abstract,fully,criterion_1,,review article
"Porshnev, A., Miltsov, A., Lokot, T., & Koltsova, O. (2021). Effects of Conspiracy Thinking Style, Framing and Political Interest on Accuracy of Fake News Recognition by Social Media Users: Evidence from Russia, Kazakhstan and Ukraine. In G. Meiselwitz (Ed.), Social Computing and Social Media: Experience Design and Social Network Analysis (Vol. 12774, pp. 341–357). Springer International Publishing. https://doi.org/10.1007/978-3-030-77626-8_23",full text,fully,criterion_5,,made up fake news
"Lee, J. (2022). The effect of web add-on correction and narrative correction on belief in misinformation depending on motivations for using social media. Behaviour & Information Technology, 41(3), 629–643. https://doi.org/10.1080/0144929X.2020.1829708",abstract,fully,criterion_2,criterion_3,only look at fake news; full text not accessible
"Kim, S., Capasso, A., Ali, S. H., Headley, T., DiClemente, R. J., & Tozan, Y. (2022). What predicts people’s belief in COVID-19 misinformation? A retrospective study using a nationwide online survey among adults residing in the United States. BMC Public Health, 22(1), 2114. https://doi.org/10.1186/s12889-022-14431-y",abstract,fully,criterion_2,,only look at fake news
"Kim, K., Lee, C., Ihm, J., & Kim, Y. (2022). A comprehensive examination of association between belief in vaccine misinformation and vaccination intention in the COVID-19 context. Journal of Health Communication, 27(7), 495–509. https://doi.org/10.1080/10810730.2022.2130479",abstract,fully,criterion_2,,only look at fake news
"Xiang, H., Zhou, J., & Wang, Z. (2023). Reducing Younger and Older Adults’ Engagement with COVID-19 Misinformation: The Effects of Accuracy Nudge and Exogenous Cues. International Journal of Human–Computer Interaction, 1–16. https://doi.org/10.1080/10447318.2022.2158263",full text,fully,criterion_4.1,,do not provide relevant summary stats and no data available
"Yang, Y., Yu, G., Pan, J., & Kreps, G. L. (2023). Public trust in sources and channels on judgment accuracy in food safety misinformation with the moderation effect of self-affirmation: Evidence from the HINTS-China database. World Medical & Health Policy, 15(2), 148–162. https://doi.org/10.1002/wmh3.544",full text,fully,criterion_2,,only look at fake news
"Bachmann, I., & Valenzuela, S. (2023). Studying the Downstream Effects of Fact-Checking on Social Media: Experiments on Correction Formats, Belief Accuracy, and Media Trust. Social Media + Society, 9(2), 20563051231179694. https://doi.org/10.1177/20563051231179694",full text,fully,criterion_2,,only look at fake news
"Ecker, U. K. H., & Ang, L. C. (2019). Political Attitudes and the Processing of Misinformation Corrections. Political Psychology, 40(2), 241–260. https://doi.org/10.1111/pops.12494",abstract,fully,criterion_2,criterion_5,only look at fake news and make them up
"van der Linden, S., Leiserowitz, A., Rosenthal, S., & Maibach, E. (2017). Inoculating the Public against Misinformation about Climate Change. Global Challenges, 1(2), 1600008. https://doi.org/10.1002/gch2.201600008",full text,fully,criterion_2,,only look at fake news and don't measure accuracy
"Ecker, U. K. H., Lewandowsky, S., & Tang, D. T. W. (2010). Explicit warnings reduce but do not eliminate the continued influence of misinformation. Memory & Cognition, 38(8), 1087–1100. https://doi.org/10.3758/MC.38.8.1087",full text,fully,criterion_2,criterion_5,only look at fake news (or better a story) and make them up
"Epstein, Z., Pennycook, G., & Rand, D. (2020). Will the Crowd Game the Algorithm? Using Layperson Judgments to Combat Misinformation on Social Media by Downranking Distrusted Sources. Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems, 1–11. https://doi.org/10.1145/3313831.3376232",full text,fully,criterion_2,criterion_4,"do not look at accuracy evaluations of news items, but let participants rank news outlets"
"Ecker, U. K. H., Lewandowsky, S., & Chadwick, M. (2020). Can corrections spread misinformation to new audiences? Testing for the elusive familiarity backfire effect. Cognitive Research: Principles and Implications, 5(1), 41. https://doi.org/10.1186/s41235-020-00241-6",full text,fully,criterion_4,criterion_5,"they meausre accuracy in two ways: (i)  by asking questions about the content of the news items (two questions per news items). They report the score of these questions as ""inference scores"". (ii) by asking about ""claim belief"" on a scale from 0 (certainly false) to 19 (certainly true); however, they do not provide the number for that latter measure that would be of interest to us (only in figures); further, it is not at all clear where their news items come from; also, they pre-selected their items to not be familiar; the data is not well enough documented for us to understand"
"Kricorian, K., Civen, R., & Equils, O. (2022). COVID-19 vaccine hesitancy: Misinformation and perceptions of vaccine safety. Human Vaccines & Immunotherapeutics, 18(1), 1950504. https://doi.org/10.1080/21645515.2021.1950504",abstract,fully,criterion_2,,only look at fake news
"Pluviano, S., Watt, C., Ragazzini, G., & Della Sala, S. (2019). Parents’ beliefs in misinformation about vaccines are strengthened by pro-vaccine campaigns. Cognitive Processing, 20(3), 325–331. https://doi.org/10.1007/s10339-019-00919-w",abstract,fully,criterion_2,,only look at fake news
"Tu, F. (2024). Empowering social media users: Nudge toward self-engaged verification for improved truth and sharing discernment. Journal of Communication, jqae007. https://doi.org/10.1093/joc/jqae007",abstract,fully ,criterion_3,,paper not accessible 
"Tseng, Y.-C., & Yuan, C. W. (Tina). (2023). Investigating Perceived Message Credibility and Detection Accuracy of Fake and Real Information Across Information Types and Modalities. Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems, 1–7. https://doi.org/10.1145/3544549.3585719",abstract,fully ,criterion_3,,paper not accessible 
"Benegal, S. D., & Scruggs, L. A. (2018). Correcting misinformation about climate change: The impact of partisanship in an experimental setting. Climatic Change, 148(1–2), 61–80. https://doi.org/10.1007/s10584-018-2192-4",full text,fully,criterion_2,criterion_5,only look at fake news and make them up
"Pointon, M., Walton, G., Turner, M., Lackenby, M., Barker, J., & Wilkinson, A. (2023). Information discernment and online reading behaviour: An experiment. Online Information Review, 47(3), 522–549. https://doi.org/10.1108/OIR-02-2021-0101",full text,fully,criterion_4,criterion_5,"eye-tracking study; they do not seem to have measured accuracy, unclear if they relied on real-world news items, and no summary measures"
"Berinsky, A. J. (2023). Political Rumors: Why We Accept Misinformation and How to Fight It.",abstract,fully,criterion_1,criterion_3,"a book with, it seems, no original data; not accessible"
"Traberg, C. S., Harjani, T., Roozenbeek, J., & van der Linden, S. (2024). The persuasive effects of social cues and source effects on misinformation susceptibility. Scientific Reports, 14(1), 4205. https://doi.org/10.1038/s41598-024-54030-y",full text,fully,criterion_5,,"out of the 5 studies, it seems that only study 1b and study 2 used real-world items; however, these items seem to be twitter posts that do not necessarily come from news outlets; we therefor decide to exclude the study"
"Craig, S. C., & Gainous, J. (2024). To vote or not to vote? Fake news, voter fraud, and support for postponing the 2020 U.S. presidential election. Politics & Policy, 52(1), 33–50. https://doi.org/10.1111/polp.12577",abstract,fully,criterion_2,,only look at fake news and don't measure accuracy
"Teličák, P., Šrol, J., & Halama, P. (2024). Argument-based intervention as a way to reduce covid-19 unfounded beliefs and vaccination hesitancy. Applied Cognitive Psychology, 38(2), e4187. https://doi.org/10.1002/acp.4187",abstract,fully,criterion_2,,do not let participants evaluate accuracy of news items
"Martel, C., Allen, J., Pennycook, G., & Rand, D. G. (2024). Crowds Can Effectively Identify Misinformation at Scale. Perspectives on Psychological Science, 19(2), 477–488. https://doi.org/10.1177/17456916231190388",full text,fully,criterion_1,,review article with no original data
"Resnick, P., Alfayez, A., Im, J., & Gilbert, E. (2023). Searching for or reviewing evidence improves crowdworkers’ misinformation judgments and reduces partisan bias. Collective Intelligence, 2(2), 26339137231173407. https://doi.org/10.1177/26339137231173407",full text,fully,criterion_4.1,,do not provide relevant summary stats and no data available
"Resnick, P., Alfayez, A., Im, J., & Gilbert, E. (2023). Searching for or reviewing evidence improves crowdworkers’ misinformation judgments and reduces partisan bias. Collective Intelligence, 2(2), 26339137231173407. https://doi.org/10.1177/26339137231173407",full text,fully,criterion_4.1,,do not provide relevant summary stats and no data available
"Allen, J., Martel, C., & Rand, D. G. (2022). Birds of a feather don’t fact-check each other: Partisanship and the evaluation of news in Twitter’s Birdwatch crowdsourced fact-checking program. Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems, 1–19. https://doi.org/10.1145/3491102.3502040",full text,fully,criterion_4.1,,do not provide relevant summary stats and no data available
"Horvath, L., Stevens, D., Banducci, S., Popp, R., & Coan, T. (2024). Correcting campaign misinformation: Experimental evidence from a two-wave panel study. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-132",full text,fully,criterion_2,,"only look at one fake news item, no true news"
"Alon, A. T., Rahimi, I. D., & Tahar, H. (2024). Fighting fake news on social media: A comparative evaluation of digital literacy interventions. Current Psychology. https://doi.org/10.1007/s12144-024-05668-4",full text,fully,criterion_2,,"only look at one fake news item, no true news"
"Gollwitzer, A., Bao, E., & Oettingen, G. (n.d.). Intellectual humility as a tool to combat false beliefs: An individual-based approach to belief revision. British Journal of Social Psychology, n/a(n/a). https://doi.org/10.1111/bjso.12732",full text,fully,criterion_2,,participants did not evaluate news items
"Buczel, K. A., Siwiak, A., Szpitalak, M., & Polczyk, R. (2024). How do forewarnings and post-warnings affect misinformation reliance? The impact of warnings on the continued influence effect and belief regression. Memory & Cognition. https://doi.org/10.3758/s13421-024-01520-z",abstract,fully,criterion_2,,only look at misinformation
"Badrinathan, S., & Chauchard, S. (2024). “I Don’t Think That’s True, Bro!” Social Corrections of Misinformation in India. The International Journal of Press/Politics, 29(2), 394–416. https://doi.org/10.1177/19401612231158770",full text,fully,criterion_5,,"made up whatsapp conversations, no real world news"
"Fahey, J. J. (2023). The Big Lie: Expressive Responding and Misperceptions in the United States. Journal of Experimental Political Science, 10(2), 267–278. https://doi.org/10.1017/XPS.2022.33",full text,fully,criterion_2,,only look at misinformation
"Zhao, X., Hingle, A., Shaw, C. C., Murphy, A., Riddick, B. R., Mhonde, R. R. D., Taylor, B. G., Lamuda, P. A., Pollack, H. A., Schneider, J. A., & Taxman, F. S. (2024). Endorsement of COVID-19 misinformation among criminal legal involved individuals in the United States: Prevalence and relationship with information sources. PLOS ONE, 19(1), e0296752. https://doi.org/10.1371/journal.pone.0296752",abstract,fully,criterion_2,,only look at misinformation
"Tulin, M., Hameleers, M., de Vreese, C., Aalberg, T., Corbu, N., Van Erkel, P., Esser, F., Gehle, L., Halagiera, D., Hopmann, D. N., Koc-Michalska, K., Matthes, J., Mihelj, S., Schemer, C., Stetka, V., Strömbäck, J., Terren, L., & Theocharis, Y. (2024). Why do Citizens Choose to Read Fact-Checks in the Context of the Russian War in Ukraine? The Role of Directional and Accuracy Motivations in Nineteen Democracies. The International Journal of Press/Politics, 19401612241233533. https://doi.org/10.1177/19401612241233533",full text,fully,criterion_1,,"data already integrated under Hameleers, M., Tulin, M., De Vreese, C., Aalberg, T., Van Aelst, P., Cardenal, A. S., Corbu, N., Van Erkel, P., Esser, F., Gehle, L., Halagiera, D., Hopmann, D., Koc‐Michalska, K., Matthes, J., Meltzer, C., Mihelj, S., Schemer, C., Sheafer, T., Splendore, S., … Zoizner, A. (2023). Mistakenly misinformed or intentionally deceived? Mis‐ and Disinformation perceptions on the Russian War in Ukraine among citizens in 19 countries. European Journal of Political Research, 1475-6765.12646. https://doi.org/10.1111/1475-6765.12646"
"Lwin, M. O., Sheldenkar, A., & Tng, P. L. (2024). You must be myths-taken: Examining belief in falsehoods during the COVID-19 health crisis. PLOS ONE, 19(3), e0294471. https://doi.org/10.1371/journal.pone.0294471",abstract,fully,criterion_2,,only look at misinformation
"Spampatti, T., Hahnel, U. J. J., Trutnevyte, E., & Brosch, T. (2023). Psychological inoculation strategies to fight climate disinformation across 12 countries. Nature Human Behaviour. https://doi.org/10.1038/s41562-023-01736-0",full text,fully,criterion_2,,only look at misinformation
"Buchanan, R., & Zhong, L. (2023). (Mis)Informing the public? The public’s responsiveness to reliable and unreliable information in illiberal information environments. Social Science Quarterly, 104(5), 1034–1048. https://doi.org/10.1111/ssqu.13298",abstract,fully ,criterion_3,,paper not accessible 
"Lee, J., Kang, D., Lee, H. Y., & Kim, J. W. (2023). The effects of authoritative source cue and argument strength of correction tweets on MMR vaccine-related misinformation credibility. Health Education Journal, 82(8), 935–951. https://doi.org/10.1177/00178969231210215",abstract,fully,criterion_2,,only look at misinformation
"Skarpa, P. E., Simoglou, K. B., & Garoufallou, E. (2023). Russo-Ukrainian War and Trust or Mistrust in Information: A Snapshot of Individuals’ Perceptions in Greece. Journalism and Media, 4(3), Article 3. https://doi.org/10.3390/journalmedia4030052",abstract,fully,criterion_4,,do not seem to have measured accuracy
"Arechar, A. A., Allen, J. N. L., berinsky, adam, Cole, R., Epstein, Z., Garimella, K., Gully, A., Lu, J. G., Ross, R. M., Stagnaro, M., Zhang, J., Pennycook, G., & Rand, D. G. (2022). Understanding and Reducing Online Misinformation Across 16 Countries on Six Continents [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/a9frz",full text,fully,criterion_1,,"data already integrated under Arechar, A. A., Allen, J., Berinsky, A. J., Cole, R., Epstein, Z., Garimella, K., Gully, A., Lu, J. G., Ross, R. M., Stagnaro, M. N., Zhang, Y., Pennycook, G., & Rand, D. G. (2023). Understanding and combatting misinformation across 16 countries on six continents. Nature Human Behaviour, 7(9), 1502–1513. https://doi.org/10.1038/s41562-023-01641-6"
"Prike, T., Blackley, P., Swire-Thompson, B., & Ecker, U. K. H. (2023). Examining the replicability of backfire effects after standalone corrections. Cognitive Research: Principles and Implications, 8(1), 39. https://doi.org/10.1186/s41235-023-00492-z",abstract,fully,criterion_2,,"focus on stand alone correction messages, no true news items ratings"
"Collier, J. R., Pillai, R. M., & Fazio, L. K. (2023). Multiple-choice quizzes improve memory for misinformation debunks, but do not reduce belief in misinformation. Cognitive Research: Principles and Implications, 8(1), 37. https://doi.org/10.1186/s41235-023-00488-9",full text,fully,criterion_2,criterion_4.1,"study 1 and 2 focus on fake news; control condition of study 3 would be relevant, but from their data (although otherwise well documented), we can't tear the different experimental conditions apart"
"Aspernäs, J., Erlandsson, A., & Nilsson, A. (2023). Misperceptions in a post-truth world: Effects of subjectivism and cultural relativism on bullshit receptivity and conspiracist ideation. Journal of Research in Personality, 105, 104394. https://doi.org/10.1016/j.jrp.2023.104394",abstract,fully,criterion_2,,do not let participants evaluate news items and focus on misinformation
"Neylan, J., Biddlestone, M., Roozenbeek, J., & van der Linden, S. (2023). How to “inoculate” against multimodal misinformation: A conceptual replication of Roozenbeek and van der Linden (2020). Scientific Reports, 13(1), 18273. https://doi.org/10.1038/s41598-023-43885-2",full text,fully,criterion_2,criterion_5,"focus on misinformation only, and half of the stimuli are made up"
"Coppock, A., Gross, K., Porter, E., Thorson, E., & Wood, T. J. (2023). Conceptual Replication of Four Key Findings about Factual Corrections and Misinformation during the 2020 US Election: Evidence from Panel-Survey Experiments. British Journal of Political Science, 53(4), 1328–1341. https://doi.org/10.1017/S0007123422000631",full text,fully,criterion_2,,focus on misinformation 
"Taurino, A., Colucci, M. H., Bottalico, M., Franco, T. P., Volpe, G., Violante, M., Grattagliano, I., & Laera, D. (2023). To believe or not to believe: Personality, cognitive, and emotional factors involving fake news perceived accuracy. Applied Cognitive Psychology, 37(6), 1444–1454. https://doi.org/10.1002/acp.4136",abstract,fully,criterion_2,,focus on fake news
"Kotz, J., Giese, H., & König, L. M. (2023). How to debunk misinformation? An experimental online study investigating text structures and headline formats. British Journal of Health Psychology, 28(4), 1097–1112. https://doi.org/10.1111/bjhp.12670",abstract,fully,criterion_2,criterion_4.2,focus on misinformation and no neutral control
"Xu, X., Lin, C. A., & Chen, H. (2023). Exploring COVID-19 Vaccine Misinformation Exposure, Beliefs, Fear, and Information Avoidance via the Stimulus–Organism–Response Framework. Science Communication, 45(6), 824–850. https://doi.org/10.1177/10755470231207611",abstract,fully,criterion_2,,focus on misinformation 
"Ospina, J., Orosz, G., & Spencer, S. (2023). The relation between authoritarian leadership and belief in fake news. Scientific Reports, 13(1), 12860. https://doi.org/10.1038/s41598-023-39807-x",abstract,fully,criterion_2,,focus on fake news
"Porter, E., Velez, Y., & Wood, T. J. (2023). Correcting COVID-19 vaccine misinformation in 10 countries. Royal Society Open Science, 10(3), 221097. https://doi.org/10.1098/rsos.221097",full text,fully,criterion_2,,focus on misinformation 
"Mazepus, H., Osmudsen, M., Bang-Petersen, M., Toshkov, D., & Dimitrova, A. (2023). Information battleground: Conflict perceptions motivate the belief in and sharing of misinformation about the adversary. PLOS ONE, 18(3), e0282308. https://doi.org/10.1371/journal.pone.0282308",full text,fully,criterion_2,,focus on misinformation 
"Hruschka, T. M. J., & Appel, M. (2023). Learning about informal fallacies and the detection of fake news: An experimental intervention. PLOS ONE, 18(3), e0283238. https://doi.org/10.1371/journal.pone.0283238",abstract,fully,criterion_4.2,criterion_4.1,no neutral control (only two training interventions) and no relevant summary statistics on accuracy ratings
"Rędzio, A. M., Izydorczak, K., Muniak, P., Kulesza, W., & Doliński, D. (2023). Is the COVID-19 Fake News game good news? Testing whether creating and disseminating fake news about vaccines in a computer game reduces people’s belief in anti-vaccine arguments. Acta Psychologica, 236, 103930. https://doi.org/10.1016/j.actpsy.2023.103930",full text,fully,criterion_5,,"unclear where the news headlines come from, i.e. if they were real or made up by the researchers"
"Velez, Y. R., Porter, E., & Wood, T. J. (2023). Latino-Targeted Misinformation and the Power of Factual Corrections. The Journal of Politics, 85(2), 789–794. https://doi.org/10.1086/722345",abstract,fully,criterion_2,criterion_3,focus on misinformation; not accessible
"Reyna, V. F. (2023). Social media: Why sharing interferes with telling true from false. Science Advances, 9(9), eadg8333. https://doi.org/10.1126/sciadv.adg8333",full text,fully,criterion_1,,short review article with no original data
"Zeng, H.-K., Lo, S.-Y., & Li, S.-C. S. (2023). Credibility of misinformation source moderates the effectiveness of corrective messages on social media. Public Understanding of Science, 09636625231215979. https://doi.org/10.1177/09636625231215979",abstract,fully,criterion_2,,focus on misinformation
"Ecker, U. K. H., Sharkey, C. X. M., & Swire-Thompson, B. (2023). Correcting vaccine misinformation: A failure to replicate familiarity or fear-driven backfire effects. PLOS ONE, 18(4), e0281140. https://doi.org/10.1371/journal.pone.0281140",abstract,fully,criterion_2,,focus on misinformation
"Graham, M. E., Skov, B., Gilson, Z., Heise, C., Fallow, K. M., Mah, E. Y., & Lindsay, D. S. (n.d.). Mixed News about the Bad News Game. Journal of Cognition, 6(1), 58. https://doi.org/10.5334/joc.324",full text,fully,criterion_5,,"unclear where the news headlines come from, i.e. if they were real or made up by the researchers"
"Arrese, Á. (2023). Institutional and non-institutional news trust as predictors of COVID-19 beliefs: Evidence from three European countries. Public Understanding of Science, 09636625231217081. https://doi.org/10.1177/09636625231217081",abstract,fully,criterion_2,,focus on misinformation
"Sádaba, C., Salaverría, R., & Bringué, X. (2023). Overcoming the Age Barrier: Improving Older Adults’ Detection of Political Disinformation With Media Literacy. Media and Communication, 11(4), 113–123. https://doi.org/10.17645/mac.v11i4.7090",full text,fully,criterion_2,,focus on misinformation
"Mauk, M., & Grömping, M. (2024). Online Disinformation Predicts Inaccurate Beliefs About Election Fairness Among Both Winners and Losers. Comparative Political Studies, 57(6), 965–998. https://doi.org/10.1177/00104140231193008",full text,fully,criterion_2,,appear not to have let participants rate news headlines
"Fajardo, M. (2023). Filipino Students’ Competency in Evaluating Digital Media Content Credibility: ‘Beginning’ to ‘Emerging’ Levels. Journal of Media Literacy Education, 15(2), 58–70. https://doi.org/10.23860/JMLE-2023-15-2-5",full text,fully,criterion_4.1,criterion_2,no relevant summary stats and not clear whether actual news items were used
"Sude, D. J., Sharon, G., & Dvir-Gvirsman, S. (2023). True, justified, belief? Partisanship weakens the positive effect of news media literacy on fake news detection. Frontiers in Psychology, 14. https://doi.org/10.3389/fpsyg.2023.1242865",full text,fully,criterion_5,,"while they appear to have taken real news, they randomly matched them with different sources; we therefor do not consider the study"
