DOI,Title,Abstract,include
10.1093/pnasnexus/pgad286,high level of correspondence across different news domain quality rating sets,"One widely used approach for quantifying misinformation consumption and sharing is to evaluate the quality of the news domains that a user interacts with. However, different media organizations and fact-checkers have produced different sets of news domain quality ratings, raising questions about the reliability of these ratings. In this study, we compared six sets of expert ratings and found that they generally correlated highly with one another. We then created a comprehensive set of domain ratings for use by the research community (github.com/hauselin/domain-quality-ratings), leveraging an ensemble “wisdom of experts” approach. To do so, we performed imputation together with principal component analysis to generate a set of aggregate ratings. The resulting rating set comprises 11,520 domains-the most extensive coverage to date-and correlates well with other rating sets that have more limited coverage. Together, these results suggest that experts generally agree on the relative quality of news domains, and the aggregate ratings that we generate offer a powerful research tool for evaluating the quality of news consumed or shared and the efficacy of misinformation interventions. © The Author(s) 2023.",
10.1186/s41235-023-00492-z,examining the replicability of backfire effects after standalone corrections,"Corrections are a frequently used and effective tool for countering misinformation. However, concerns have been raised that corrections may introduce false claims to new audiences when the misinformation is novel. This is because boosting the familiarity of a claim can increase belief in that claim, and thus exposing new audiences to novel misinformation—even as part of a correction—may inadvertently increase misinformation belief. Such an outcome could be conceptualized as a familiarity backfire effect, whereby a familiarity boost increases false-claim endorsement above a control-condition or pre-correction baseline. Here, we examined whether standalone corrections—that is, corrections presented without initial misinformation exposure—can backfire and increase participants’ reliance on the misinformation in their subsequent inferential reasoning, relative to a no-misinformation, no-correction control condition. Across three experiments (total N = 1156) we found that standalone corrections did not backfire immediately (Experiment 1) or after a one-week delay (Experiment 2). However, there was some mixed evidence suggesting corrections may backfire when there is skepticism regarding the correction (Experiment 3). Specifically, in Experiment 3, we found the standalone correction to backfire in open-ended responses, but only when there was skepticism towards the correction. However, this did not replicate with the rating scales measure. Future research should further examine whether skepticism towards the correction is the first replicable mechanism for backfire effects to occur. © 2023, The Author(s).",
10.1371/journal.pone.0294681,attentive immobility: investigating the emotional-cognitive mechanism underlying conspiracy mentality and covid-19 preventive behaviors,"While conspiracy theories have received extensive attention in the realm of misinformation, there has been limited research exploring the impact of conspiracy mentality on individuals’ preventive behaviors during acute public health crises. This study investigates how conspiracy mentality may affect compliance with preventive health measures necessary to fight the COVID-19 pandemic, and the underlying emotional and cognitive mediators. Data was collected through a survey among 1878 Chinese respondents at the conclusion of the pandemic. The results indicate that individuals with higher levels of conspiracy mentality are significantly less engaged in preventive behaviors. Furthermore, this correlation is mediated by a sequence of mediating factors, starting from anger leading to institutional distrust and fear leading to perceived risk. Conspiracists’ response mode can be described as a state of ""attentive immobility,"" in which the impact of heightened institutional distrust outweighs their perceptions of risk, ultimately reducing engagement in preventive behaviors during crises. These findings underscore the importance of debunking initiatives that aim to address and mitigate the negative consequences of conspiracy mentality by targeting the mediating psychological processes during future pandemic threats. © 2023 Zhao et al.",
10.1016/j.ssmqr.2023.100308,perceptions of government guidance and citizen responses during the covid-19 pandemic: a cross-country analysis,"The public perception of government approaches to pandemic management has played an important role in citizen responses to the COVID-19 pandemic. Although the state and associated health institutions should feasibly be sources of epistemic authority, the pandemic has undermined their legitimacy as anti-science rhetoric proliferated and ‘fake news’ spread rapidly. In this paper, we present a comparative analysis of interviews with citizens across four different countries and explore how a lack of consistency and clarity in public health guidance from government and other trusted institutions led to a polarisation in public perceptions and mixed understandings of the pandemic. Using interview data collected across Brazil, Japan, Spain and the United Kingdom, we explored whether there were differences in the extent to which both state governments and scientific institutions were perceived as epistemic authorities through managing the pandemic. Participants grappled with a distrust of government guidelines, finding alternative sources of information to manage perceived infection risk, and make decisions around self-medication. Our analysis suggests several components were key to maintaining trust – and therefore epistemic authority – during the pandemic: reliability of the information delivered by different government bodies, including clarity of messaging; reliability of the government bodies themselves, including whether officials conducted themselves appropriately; and honesty about claims to expertise, including communicating when the scientific evidence was unclear or inconclusive. Our data suggests that honest communication about the limits of their knowledge would assist governments in engendering trust among citizens, and theoretically, compliance with public health guidelines. © 2023 The Authors",
10.3390/socsci12090470,preventing prejudice emerging from misleading news among adolescents: the role of implicit activation and regulatory self-efficacy in dealing with online misinformation,"This paper explores the possibility of preventing prejudice among adolescents by promoting the analytical processing of social media content emerging from racial misinformation. Specifically, we propose, at this aim, an intervention that centers on recognizing stereotypical beliefs and other media biases about a group of people in misleading news. To better understand the variables that contribute to improving socio-analytical performance in the face of such misinformation, we investigated the influence of implicit associations as a tendency toward the automatic labeling of groups, as well as two dimensions of perceived self-efficacy in the face of misinformation, one active and one inhibitory. Our results demonstrate the presence of a negative link between affective prejudice and socio-analytical processing, and that this analytical performance toward misleading news is negatively related to the individual tendency toward implicit activation, and is also explained by the inhibitory factor of the perceived efficacy toward misinformation. The role of the active factor related to the perceived ability of fact-checking is not significant. This research suggests that education focused on the socio-analytical processing of misleading news in social media feeds can be an effective means of intervening in online affective prejudice among adolescents; the implications and limitations of our findings for future research in this area are discussed. © 2023 by the authors.",
10.1111/spc3.12772,"covid-19 attitudes, cognitions, and behaviors in association with personal ideology and social media exposure: findings from emerging adults in the southern united states","In the U.S., the COVID-19 pandemic has been highly politicized and has been the subject of large-scale media misinformation. Personal ideologies—including religiosity and political leanings (i.e., conservative, liberal)—have heavily guided responses to the pandemic, particularly in the Southern United States. However, microenvironments like Southern U.S. universities provide a unique perspective into the juxtaposition of larger societal conservatism and the liberalism associated with higher education. In the current study, we examined Southern university students' political beliefs, religiosity, and social media exposure in association with their COVID-19 attitudes, cognitions, and behaviors. Participants' political beliefs were associated with their COVID-19 concern, myth acceptance, vaccination status, and likelihood to receive a future vaccination. Religiosity and social media exposure were more nuanced. Future research into personal ideologies as emerging adults develop their independent identities away from their parents, and how this process can impact health behaviors, is needed. © 2023 The Authors. Social and Personality Psychology Compass published by John Wiley & Sons Ltd.",
10.1016/j.socscimed.2023.116263,believing in conspiracy theories in spain during the covid-19 pandemic: drivers and public health implications,"Conspiracy theories jeopardize public health by disseminating misinformation and undermining authoritative health guidelines. This study explores social factors associated with the belief in conspiracy theories in Spain during the COVID-19 pandemic. Drawing upon the theoretical framework of Max Weber, it posits that beliefs in conspiracy theories are linked to both instrumental rationality considerations, such as trust in health authorities, science, and pharmaceutical companies, as well as value-rationality based factors, such as ideological orientation. The study analyzes recent, nationally representative survey data and is the first to examine the social predictors of belief in conspiracy theories in Spain during the pandemic. The findings highlight that conspiracy theory beliefs are (a) associated with considerably worse vaccination behaviors, (b) not or only very weakly associated with standard demographics such as age, sex, or education, (c) related to instrumental rationality considerations, and (d) only weakly related to value-rationality indicators such as ideological and religious affiliations. In conclusion, the study underscores the significance of public health policies that specifically address conspiracy theory convictions, and to that end, advocates for the application of a Weberian sociological perspective to better understand the diverse rationalities underlying these beliefs, particularly in the absence of discernible demographic predictors. © 2023 The Authors",
10.1186/s40359-023-01425-7,trust in information sources as a moderator of the impact of covid-19 anxiety and exposure to information on conspiracy thinking and misinformation beliefs: a multilevel study,"This study investigates the intricate relationship between exposure to information sources, trust in these sources, conspiracy and misinformation beliefs, and COVID-19 anxiety among 509 Omani citizens aged 11 to 50, representing 11 governorates. Employing structural equation modeling, we not only examine these associations but also explore how trust and COVID-19 anxiety act as moderating variables in this context. Additionally, we delve into demographic factors such as age group, educational level, gender, and place of residence (governorate) to discern potential variations. Our findings reveal that trust in health experts is inversely related to belief in conspiracy theories, while trust in health experts negatively correlates with exposure to conspiracy and misinformation. Intriguingly, trust in health experts exhibits divergent effects across governorates: it diminishes conspiracy and misinformation beliefs in some regions but not in others. Exposure to personal contacts and digital media, on the other hand, is associated with heightened beliefs in misinformation and conspiracy theories, respectively, in select governorates. These distinctions may be attributed to proximity to Muscat, the capital city of Oman, where various media outlets and policy-making institutions are situated. Furthermore, lower educational attainment is linked to greater belief in conspiracy and misinformation. Females reported higher levels of conspiracy theory beliefs and COVID-19 anxiety while no significant differences were detected in misinformation beliefs. This study sheds light on the intricate dynamics of misinformation and conspiracy theories in the context of COVID-19 in Oman, highlighting the pivotal roles of trust and COVID-19 anxiety as moderating factors. These findings offer valuable insights into understanding and addressing the spread of misinformation and conspiracy theories during a public health crisis. © 2023, The Author(s).",
10.1177/20531680231193514,by any memes necessary: belief- and chaos-driven motives for sharing conspiracy theories on social media,"Although a growing body of scholarship examines who believes conspiracy theories (CTs) and why, less is known about why people share CTs. We test the impact of three independent motives on people’s willingness to share CTs on social media: bolstering their or their group’s beliefs (motivated sharing), generating collective action against their political outgroup because of losing (sounding the alarm), and mobilizing others against the political system (need for chaos). Using an original survey of US adults (N = 3336), we test these three motives together and find strong evidence for motivated sharing and need for chaos, but no evidence for sounding the alarm. Our findings suggest that motivated sharing—when measured directly as belief in the CTs—is the strongest predictor of willingness to share CTs on social media. Need for chaos has less of an effect on sharing than belief but a consistently stronger effect on sharing than partisanship and ideology. Altogether, we demonstrate that sharing CTs on social media can serve both motivated and mobilizing functions, particularly for those who believe the CTs or seek to challenge the political system, rather than impugn their political rivals. © The Author(s) 2023.",
10.1177/18681034231209504,"bowed, bent, & broken: duterte's assaults on civil society in the philippines","The Philippines has historically been known to have one of the most robust and politically active civil societies in the world. With a deep affinity with democracy, civil society became a reliable bulwark against abuses of power and endemic corruption. However, it came under attack under the populist, illiberal Duterte administration (2016–2022) through intimidation, persecution, massive disinformation, and even outright violence. This article examines why Philippine civil society – despite its attempted pushback against democratic erosion – was generally neutralized by Duterte. Apart from its weakened state given polarizing elite conflicts in the 2000s, Duterte engaged in executive assaults against civil society through the four strategies of exploiting divisions within civil society; securitizing public; regulating civic space to weed out opposition voices; and controlling the media environment. This article concludes by examining the implications of a weakened civil society and prospects for its reinvigoration under a restored Marcos dynasty, which won the 2022 Philippine presidential elections. © The Author(s) 2023.",
10.2478/bjlp-2023-0006,resilience and vulnerabilities related to russia's invasion of ukraine: the emergence of a new club of nato and eu members,"This article compares and contrasts macro- and micro-foundational explanations about disinformation and resilience in Europe as a result of Russia's war in Ukraine. It presents micro-level data about the shifting public opinion in Europe after Russia's invasion in Ukraine on Feb 24, 2022 on the topics of NATO and EU support and favorability, sympathy for Ukraine and condemnation of Russia, including support for sanctions against Moscow (Pew Research Center 2021, 2022). The study compares and contrasts traditional macro-level analytical frameworks such as deterrence, institutionalization and adaptation. I argue that a combination of macro- (or institutional) and micro-level factors (associated with the idiosyncrasies of the domestic public opinion) best explain the shifting attitudes since the beginning of the War in Ukraine. Against the backdrop of NATO and the EU's increased resilience, a new group or sub-club of ""vulnerable""allies has emerged among some central and east European nations. The article evaluates different constraints and vulnerabilities and makes recommendations how to reduce misinformation and contestation in these states.  © 2023 Ivan Dinev Ivanov.",
10.1016/j.socscimed.2023.116132,hope over fear: the interplay between threat information and hope appeal corrections in debunking early covid-19 misinformation,"The spreading of COVID-19 misinformation paralleled increasing fear towards the pandemic reported worldwide in its early stages. Yet research on the emotional basis for misinformation susceptibility and how emotional appeals may help reduce COVID-19 related misperceptions remains limited. To address this gap, we conducted a 2 (threat from COVID-19: yes vs. no) × 4 (correction conditions: none vs. factual correction vs. factual correction + words of optimistic outlook & individual efficacy vs. factual correction + words of optimistic outlook & collective efficacy) between-participant factorial experiment among an online sample of Chinese residents (N = 836) in June 2020. Misinformation about COVID-19 treatments and mitigation was presented in all conditions. Across five misinformation topics, threat information induced more misperceptions while all three types of corrections mitigated threat information's deleterious impact and improved belief accuracy. Importantly, corrections incorporating hope appeals showed enhanced effectiveness in improving belief accuracy when threat information was present whereas factual corrections absent hope appeals did not show similar sensitivity towards threat information. For hope appeal corrections, their indirect effects on desirable downstream behavioral intentions through corrected beliefs were stronger with than without preceding threat information. Our study thus demonstrated the potential of deploying hope appeals to fight the COVID-19 infodemic in China and beyond when threat information is prevalent, while highlighting the importance of studying the roles of emotional appeals in health misperception formation and correction. © 2023 Elsevier Ltd",
10.1016/j.techfore.2023.122746,covid-19 fake news detection: a hybrid cnn-bilstm-am model,"With the rapid development of technology, social media as a communication platform has caused a significant increase in the dissemination of false information and fake news. We propose an outlier knowledge management framework of “generation–spread–identification–refutation” for detecting fake news in emergencies based on the theory of complex adaptive systems and information transmission. We extract and acquire outlier knowledge of COVID-19 fake news, incorporate it into the outlier knowledge base of major emergencies for knowledge sharing and transformation, classify the acquired knowledge from three dimensions (people, organization, and technology), and develop wisdom according to the extracted knowledge. Our proposed hybrid model is based on Convolutional Neural Network, Bidirectional Long Short-term Memory Network, and Attention Mechanism (AM) for fake news detection, thereby improving the evaluation indicators of Loss, Accuracy, F1-score, and Recall by at least 1 %. The multi-head AM performs better in fake news detection when models with different AMs are adjusted, and significant differences in sentence length and topic distribution can be observed between real and fake news. The model provides a think tank and a platform for public opinion guidance to deal with major emergency news detection. © 2023 Elsevier Inc.",
10.1027/1016-9040/a000498,the misinformation receptivity framework: political misinformation and disinformation as cognitive bayesian inference problems,"Evaluating the truthfulness of new information is a difficult and complex task. Notably, there is currently no unified theoretical framework that addresses the questions of (1) how individuals discern whether political information is true or (deliberately) false, (2) under what conditions individuals are most susceptible to believing misinformation, and (3) how the structure of political and communicative environments skews cognitive processes of truth, discernment, and interpretation generation. To move forward, we propose the Misinformation Receptivity Framework (MRF). Building on Bayesian and probabilistic models of cognition, the MRF suggests that we can conceptualize misinformation receptivity as a cognitive inference problem in which the reliability of incoming misinformation is weighed against the reliability of prior beliefs. This reliability-weighting process can model when individuals adopt or reject misinformation, as well as the ways in which they creatively generate interpretations rather than passively discern truth versus falsehood. Moreover, certain communication contexts can lead people to rely excessively on incoming (mis)information or conversely to rely excessively on prior beliefs. The MRF postulates how such environmental properties can heighten the persuasiveness of different kinds of misinformation. For instance, the MRF predicts that noisy communication contexts, in which the reliability of inputs is ambiguous, make people susceptible to highly partisan and ideological misinformation or disinformation that amplifies their existing belief systems. By contrast, the MRF predicts that contextual instability renders people susceptible to misinformation that would be considered extreme or worldview-incongruent in conditions of stability. The MRF formally delineates the interactions between cognitive and communicative mechanisms, offering insights and testable hypotheses on when, how, and why different kinds of misinformation proliferate. © 2023 Hogrefe Publishing.",
10.1186/s41235-023-00488-9,"multiple-choice quizzes improve memory for misinformation debunks, but do not reduce belief in misinformation","Fact-checkers want people to both read and remember their misinformation debunks. Retrieval practice is one way to increase memory, thus multiple-choice quizzes may be a useful tool for fact-checkers. We tested whether exposure to quizzes improved people’s accuracy ratings for fact-checked claims and their memory for specific information within a fact check. Across three experiments, 1551 US-based online participants viewed fact checks (either health- or politics-related) with or without a quiz. Overall, the fact checks were effective, and participants were more accurate in rating the claims after exposure. In addition, quizzes improved participants’ memory for the details of the fact checks, even 1 week later. However, that increased memory did not lead to more accurate beliefs. Participants’ accuracy ratings were similar in the quiz and no-quiz conditions. Multiple-choice quizzes can be a useful tool for increasing memory, but there is a disconnect between memory and belief. © 2023, The Author(s).",
10.3390/soc13110242,fake news in the post-covid-19 era? the health disinformation agenda in spain,"Three years after a pandemic that demonstrated the importance of reliable health information in a news agenda dominated by coronavirus disease 2019 (COVID-19), we analyze the situation of health disinformation in Spain on the basis of the verifications carried out by its main fact-checking platforms. The results show that COVID-19 shared center stage with other topics in the health area. In addition, a unique agenda is evident in each situation in the study, indicating a fact-checking strategy that is differentiated according to the media outlet and type of specialization (generalist fact-checker or one specialized in health). Vaccination, nutrition, and disease treatment emerge as the most important thematic subfields. Most health hoaxes are manufactured, i.e., created from scratch, rather than being manipulated or reconfigured from real preexisting elements. The format of text and image together predominates, and new social networks (TikTok or Telegram) have appeared as platforms for the circulation of hoaxes. This indicates that providing necessary health literacy to society and giving health issues greater presence in current fact-checking agendas are strategies for combatting disinformation, which can have serious consequences, regardless of whether there is a public health crisis such as the one experienced recently. © 2023 by the authors.",
10.3758/s13423-023-02321-2,thinking false and slow: implausible beliefs and the cognitive reflection test,"Why do people believe implausible claims like conspiracy theories, pseudoscience, and fake news? Past studies using the Cognitive Reflection Test (CRT) suggest that implausible beliefs may result from an unwillingness to effortfully process information (i.e., cognitive miserliness). Our analysis (N = 664) tests this account by comparing CRT performance (total score, number and proportion of incorrect intuitive responses, and completion time) for endorsers and non-endorsers of implausible claims. Our results show that endorsers performed worse than non-endorsers on the CRT, but they took significantly longer to answer the questions and did not make proportionally more intuitive mistakes. Endorsers therefore appear to process information effortfully but nonetheless score lower on the CRT. Poorer overall CRT performance may not necessarily indicate that those who endorse implausible beliefs have a more reflexive, intuitive, or non-analytical cognitive style than non-endorsers. © 2023, The Author(s).",
10.1038/s41598-023-39944-3,deepfakes and scientific knowledge dissemination,"Science misinformation on topics ranging from climate change to vaccines have significant public policy repercussions. Artificial intelligence-based methods of altering videos and photos (deepfakes) lower the barriers to the mass creation and dissemination of realistic, manipulated digital content. The risk of exposure to deepfakes among education stakeholders has increased as learners and educators rely on videos to obtain and share information. We field the first study to understand the vulnerabilities of education stakeholders to science deepfakes and the characteristics that moderate vulnerability. We ground our study in climate change and survey individuals from five populations spanning students, educators, and the adult public. Our sample is nationally representative of three populations. We found that 27–50% of individuals cannot distinguish authentic videos from deepfakes. All populations exhibit vulnerability to deepfakes which increases with age and trust in information sources but has a mixed relationship with political orientation. Adults and educators exhibit greater vulnerability compared to students, indicating that those providing education are especially susceptible. Vulnerability increases with exposure to potential deepfakes, suggesting that deepfakes become more pernicious without interventions. Our results suggest that focusing on the social context in which deepfakes reside is one promising strategy for combatting deepfakes. © 2023, Springer Nature Limited.",
10.1111/spc3.12797,personal need for structure as a protective factor on beliefs and coping with covid-19: a crowd-sourced multicultural exploration,"A pre-registered, crowd-sourced, multicultural study assessed how the personal need for structure (PNFS) predicted perceptions, behaviors, and coping mechanisms in response to the COVID-19 pandemic. Collaborators, invited to collect online survey data through Psi Chi's Network for International Collaborative Exchange crowd-sourcing initiative (Edlund et al., 2019), recruited approximately 100 participants across 22 data-collection locations (final N = 4620). Participants completed randomized online surveys, which inquired about an individual's PNFS, and current perceptions, behaviors and knowledge surrounding the pandemic. Results indicated that individuals with higher PNFS fared better at navigating the rules and restrictions that came with the pandemic. Specifically, and contrary to hypotheses, higher PNFS positively predicted knowledge of COVID-19 and support for government restrictions and negatively predicted belief in pandemic misinformation. Additionally, PNFS significantly positively predicted the use of problem and emotion-focused coping strategies and did not predict dysfunctional coping mechanisms. Our findings emphasize the role individual differences play in navigating the pandemic, and future research should evaluate PNFS in light of COVID-19 and in relation to other behavioral and psychological outcomes. © 2023 John Wiley & Sons Ltd.",
10.1038/s41598-023-30867-7,a prosocial fake news intervention with durable effects,"The present online intervention promoted family-based prosocial values—in terms of helping family members—among young adults to build resistance against fake news. This preregistered randomized controlled trial study is among the first psychological fake news interventions in Eastern Europe, where the free press is weak and state-sponsored misinformation runs riot in mainstream media. In this intervention, participants were endowed with an expert role and requested to write a letter to their digitally less competent relatives explaining six strategies that help fake news recognition. Compared to the active control group there was an immediate effect (d = 0.32) that persisted until the follow-up four weeks later (d = 0.22) on fake news accuracy ratings of the young, advice-giving participants. The intervention also reduced the bullshit receptivity of participants both immediately after the intervention and in the long run. The present work demonstrates the power of using relevant social bonds for motivating behavior change among Eastern European participants. Our prosocial approach with its robust grounding in human psychology might complement prior interventions in the fight against misinformation. © 2023, The Author(s).",
10.1038/s41562-023-01623-8,a meta-analysis of correction effects in science-relevant misinformation,"Scientifically relevant misinformation, defined as false claims concerning a scientific measurement procedure or scientific evidence, regardless of the author’s intent, is illustrated by the fiction that the coronavirus disease 2019 vaccine contained microchips to track citizens. Updating science-relevant misinformation after a correction can be challenging, and little is known about what theoretical factors can influence the correction. Here this meta-analysis examined 205 effect sizes (that is, k, obtained from 74 reports; N = 60,861), which showed that attempts to debunk science-relevant misinformation were, on average, not successful (d = 0.19, P = 0.131, 95% confidence interval −0.06 to 0.43). However, corrections were more successful when the initial science-relevant belief concerned negative topics and domains other than health. Corrections fared better when they were detailed, when recipients were likely familiar with both sides of the issue ahead of the study and when the issue was not politically polarized. © 2023, The Author(s), under exclusive licence to Springer Nature Limited.",
10.1093/oso/9780197520536.003.0022,"emotion, digital media, and misinformation","This chapter argues that emotions play a pivotal role in whether people are exposed to, engage with, and believe scientific, health, and political misinformation online. It advances an emotion-centered approach to understanding misinformation by examining how different conceptualizations of emotions, such as core affect and dimensional approaches, discrete emotions (e.g., anger, anxiety, fear), feelings-as-information, and intuition, are applied to investigate the spread and belief of false information online. The chapter also discusses how emotions impact the effectiveness of corrections to falsehoods. It concludes with a call to place more emphasis on emotions in misinformation research, offering a series of unanswered questions about emotion and misinformation to be addressed in future work. Together, the chapter offers a comprehensive overview for why and how emotions can promote public misinformation about key social issues. © Oxford University Press 2023. All rights reserved.",
10.1016/j.socscimed.2023.116187,understanding and managing the self-wise during a healthcare crisis,"The COVID-19 pandemic has brought an interesting yet worrisome phenomenon to the fore. A segment of the population, which we call the Self-Wise, seems to exhibit an inflated sense of self-expertise relative to domain experts, which – combined with a lack of trust in the latter – leads them to ignore or reject expert advice. We argue and demonstrate that this phenomenon is distinct from other “illusory superiority” phenomena, most notably Dunning-Kruger and Lake Wobegon. Three studies with US participants provide compelling evidence for the existence of the Self-Wise phenomenon. In the context of COVID-19, its behavioral consequences are non-compliance with expert-based COVID-19 guidelines and measures (e.g., wearing a mask and getting vaccinated). The studies also provide insight into additional characteristics of the Self-Wise, which can be used for identification and targeting purposes. We tested the effectiveness of two tailored interventions that aimed at reducing this segment's “illusory superiority” and (re-)establishing their trust in medical experts. The interventions proved effective in terms of reducing the “illusory superiority” of the Self-Wise, and generally enhanced the participants' intention to comply with COVID-19 guidelines. However, to substantially change the non-conforming COVID-19 behavior of the Self-Wise likely requires stronger and sustained mitigation strategies or interventions. © 2023 Elsevier Ltd",
10.1016/j.tsc.2023.101354,developing critical thinking skills through gamification,"Misinformation as well as the proliferation of fake news has been a problem during COVID-19 pandemic. This has affected many vulnerable communities in Brazil. The ability to understand and sort out pieces of reliable information and fake news has become a fundamental cognitive skill. In this study we report on the development of a serious game (a card-based role-playing game) using Brazilian folk heroes aimed to develop critical thinking skills to empower vulnerable communities affected by misinformation and fake news. Four groups located in the city of Goiânia (Brazil) participated in this research: one group of people experiencing homelessness; two groups of favela residents (one urban and one in the suburbs) and one group of recyclable material collectors from a cooperative. We gained entry and built trust with each of these groups and worked together for 10 months during the pandemic. We conducted participatory observations, individual interviews with each participant and discussed their daily interaction with information, specifically in the context of the covid-19 pandemic. The analyses of the observations and interview data gave us a glimpse of the communicative needs of the groups. Inserting players into a narrative where they can make decisions based on critical thinking and their own reflections on the pandemic was important for building knowledge and developing critical thinking in these communities. The nature of the game (interactive and cooperative) allowed participants to focus on problem-solving skills and group work. It encouraged them to use real-life knowledge and skills to solve the fictional problems presented by the narrative. © 2023",
10.1186/s41235-023-00505-x,game-based inoculation versus graphic-based inoculation to combat misinformation: a randomized controlled trial,"Misinformation affects various aspects of people’s lives, such as politics, entertainment, and social interactions. However, effective intervention measures to combat misinformation are lacking. The inoculation theory has become a prevalent measure of misinformation. This study employed inoculation theory and developed an interactive game to help the public counter misinformation. In this game, players take on the role of the misinformation spreader, intending to add more followers to their virtual accounts using different strategies. A total of 180 Chinese participants were randomly assigned to game-based inoculation, graphic-based inoculation, and control groups. The results indicated that both types of inoculation interventions significantly decreased the perceived credibility and sharing intention of misinformation. Game-based inoculation was more effective than graphic-based inoculation in terms of misinformation perceived credibility, and the intervention effects were stable after 2 weeks. The graphic-based inoculation contained the sleeper effect, which interventions required a period of time to take effect. Neither inoculation produced countereffects on perceived credibility and nor sharing intention of accurate information. © 2023, The Author(s).",
10.1145/3583780.3615254,a comparative study of reference reliability in multiple language editions of wikipedia,"Information presented in Wikipedia articles must be attributable to reliable published sources in the form of references. This study examines over 5 million Wikipedia articles to assess the reliability of references in multiple language editions. We quantify the cross-lingual patterns of the perennial sources list, a collection of reliability labels for web domains identified and collaboratively agreed upon by Wikipedia editors. We discover that some sources (or web domains) deemed untrustworthy in one language (i.e., English) continue to appear in articles in other languages. This trend is especially evident with sources tailored for smaller communities. Furthermore, non-authoritative sources found in the English version of a page tend to persist in other language versions of that page. We finally present a case study on the Chinese, Russian, and Swedish Wikipedias to demonstrate a discrepancy in reference reliability across cultures. Our finding highlights future challenges in coordinating global knowledge on source reliability. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.",
NA,in the dark: the scapegoating of renewables after grid failures,"Renewable energy is increasingly scapegoated as the primary cause of weather-related power outages and other grid failures, despite substantial evidence to the contrary. Disinformation campaigns framing renewables as unreliable are driven by two factors: the increasing frequency of power outages and the growing pressures facing fossil fuel energy stakeholders. Over the past decade, power outages in the United States have doubled, primarily due to increased extreme weather, aging energy infrastructure, and a rapidly changing resource mix. At the same time, the energy transition is placing unprecedented competitive pressure on the coal and gas industry and on the nation’s utilities. These factors are driving fossil fuel stakeholders and their allies to increasingly make renewables the scapegoat for large-scale blackouts and other grid-related challenges. As the scapegoating after recent power outages in Texas and California shows, such disinformation campaigns can shift blame for grid failures away from responsible parties, bolster policies that perpetuate the nation’s reliance on carbon-heavy energy sources and justify unwarranted investments in outdated energy infrastructure. This article highlights this trend and its adverse impacts and suggests several potential strategies for addressing it, including government-sponsored information campaigns and the possibility of creating a new federal agency focused on promoting accuracy and transparency in energy-related messaging. © 2023, University of New Mexico. All rights reserved.",
10.1371/journal.pone.0291668,do deepfake videos undermine our epistemic trust? a thematic analysis of tweets that discuss deepfakes in the russian invasion of ukraine,"Deepfakes are a form of multi-modal media generated using deep-learning technology. Many academics have expressed fears that deepfakes present a severe threat to the veracity of news and political communication, and an epistemic crisis for video evidence. These commentaries have often been hypothetical, with few real-world cases of deepfake’s political and epistemological harm. The Russo-Ukrainian war presents the first real-life example of deepfakes being used in warfare, with a number of incidents involving deepfakes of Russian and Ukrainian government officials being used for misinformation and entertainment. This study uses a thematic analysis on tweets relating to deepfakes and the Russo-Ukrainian war to explore how people react to deepfake content online, and to uncover evidence of previously theorised harms of deepfakes on trust. We extracted 4869 relevant tweets using the Twitter API over the first seven months of 2022. We found that much of the misinformation in our dataset came from labelling real media as deepfakes. Novel findings about deepfake scepticism emerged, including a connection between deepfakes and conspiratorial beliefs that world leaders were dead and/or replaced by deepfakes. This research has numerous implications for future research, societal media platforms, news media and governments. The lack of deepfake literacy in our dataset led to significant misunderstandings of what constitutes a deepfake, showing the need to encourage literacy in these new forms of media. However, our evidence demonstrates that efforts to raise awareness around deepfakes may undermine trust in legitimate videos. Consequentially, news media and governmental agencies need to weigh the benefits of educational deepfakes and pre-bunking against the risks of undermining truth. Similarly, news companies and media should be careful in how they label suspected deepfakes in case they cause suspicion for real media. © 2023 Twomey et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",
10.1016/j.jrp.2023.104394,misperceptions in a post-truth world: effects of subjectivism and cultural relativism on bullshit receptivity and conspiracist ideation,"This research investigated whether belief in truth relativism yields higher receptivity to misinformation. Two studies with representative samples from Sweden (Study 1, N = 1005) and the UK (Study 2, N = 417) disentangled two forms of truth relativism: subjectivism (truth is relative to subjective intuitions) and cultural relativism (truth is relative to cultural context). In Study 1, subjectivism was more strongly associated with receptivity to pseudo-profound bullshit and conspiracy theories than cultural relativism was. In Study 2 (preregistered), subjectivism predicted higher receptivity to both forms of misinformation over and above effects of analytical and actively open-minded thinking, profoundness receptivity, ideology, and demographics; the unique effects of cultural relativism were in the opposite direction (Study 1) or non-significant (Study 2). © 2023 The Authors",
