StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,dep_guess_b_I_4,dep_conf_b_I,dep_comp_b_I,indep_guess_a_I_4,indep_conf_a_I,indep_comp_a_I,indep_guess_b_I_4,indep_conf_b_I,indep_comp_b_I,dep_guess_a_I_4,dep_conf_a_I,dep_comp_a_I,dep_guess_b_II_4,dep_conf_b_II,dep_comp_b_II,indep_guess_a_II_4,indep_conf_a_II,indep_comp_a_II,indep_guess_b_II_4,indep_conf_b_II,indep_comp_b_II,dep_guess_a_II_4,dep_conf_a_II,dep_comp_a_II,dep_conf_b_III_4,dep_conf_b_III,dep_comp_b_III,indep_guess_a_III_4,indep_conf_a_III,indep_comp_a_III,indep_guess_b_III_4,indep_conf_b_III,indep_comp_b_III,dep_guess_a_III_4,dep_conf_a_III,dep_comp_a_III,Q2,Q3,Q4,Q5,PROLIFIC_PID,counter
2022-05-02 11:41:10,2022-05-02 11:44:44,0,176.25.110.85,100,214,1,2022-05-02 11:44:45,R_1jJIZRrGezaYzcx,,,,,53.2685,-0.8852,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1320,4,4,1480,4,4,,,,,,,,,,,,,,2,35,4,57504af8119192000651eb8b,2
2022-05-02 11:42:33,2022-05-02 11:44:47,0,109.157.98.31,100,134,1,2022-05-02 11:44:47,R_32XV4AUN6gohbsd,,,,,51.5602,-1.6173,anonymous,EN,1,I pay attention,,,,,,,1423,4,4,1631,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,6,5a799309f49c9a0001f31396,2
2022-05-02 11:41:37,2022-05-02 11:44:48,0,86.146.134.219,100,191,1,2022-05-02 11:44:48,R_2waBQX4LGUvAnBG,,,,,51.1278,-3.0001,anonymous,EN,1,I pay attention,1400,4,4,1600,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,2,5bf192725431290001de4ba3,2
2022-05-02 11:42:06,2022-05-02 11:44:51,0,176.250.28.7,100,164,1,2022-05-02 11:44:51,R_1hXAD5o8IINvwpC,,,,,53.7881,-1.6008,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1336,5,6,1494,4,5,,,,,,,,,,,,,,,,,,,,1,62,5,5cf0e467027fc1001560c7ff,2
2022-05-02 11:41:41,2022-05-02 11:45:03,0,92.28.177.90,100,202,1,2022-05-02 11:45:04,R_3q9vb9eeawEH0dr,,,,,50.7976,0.3029,anonymous,EN,1,I pay attention,1408,4,5,1641,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,5,5991efc7b83f800001a5e431,2
2022-05-02 11:41:15,2022-05-02 11:45:05,0,81.152.101.126,100,229,1,2022-05-02 11:45:05,R_3n7bHMcqp594Zbi,,,,,56.1185,-3.7941,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1513,4,4,1769,2,3,,,,,,,,2,55,4,613a4a1ae9d2a3b70481d61c,2
2022-05-02 11:42:25,2022-05-02 11:45:08,0,86.148.190.212,100,162,1,2022-05-02 11:45:08,R_1jlxWdmXLbaEOzs,,,,,53.4809,-2.2374,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1503,3,4,1648,2,4,,,,,,,,2,44,3,6012ce011fcab507983adbdf,2
2022-05-02 11:39:40,2022-05-02 11:45:19,0,213.107.51.118,100,338,1,2022-05-02 11:45:19,R_1dhSoRIz7tP4KeS,,,,,52.5674,-2.0333,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1304,5,5,1504,1,4,,,,,,,,,,,,,,,,,,,,2,33,5,5f591a5a9a49e211efead835,2
2022-05-02 11:44:25,2022-05-02 11:45:23,0,144.82.9.249,100,58,1,2022-05-02 11:45:23,R_1CJWhg54jfuFFod,,,,,51.5466,-0.1232,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1315,5,6,1461,5,5,,,,,,,,,,,,,,,,,,,,2,19,3,60fd3f4a362b98fba94ed072,2
2022-05-02 11:39:39,2022-05-02 11:45:38,0,217.43.125.110,100,359,1,2022-05-02 11:45:39,R_1mPl20ALZK0So2f,,,,,55.8119,-4.2573,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,1,4,1666,1,4,,2,45,5,5e47e2ba8b051d28255d9c7c,2
2022-05-02 11:43:27,2022-05-02 11:45:55,0,109.155.13.63,100,147,1,2022-05-02 11:45:55,R_1lc3iwvu78XzSHS,,,,,51.8053,-0.8086,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1517,5,5,1654,6,6,,,,,,,,2,62,2,5e444548394cd52d1885d92e,2
2022-05-02 11:43:51,2022-05-02 11:45:59,0,81.156.199.12,100,128,1,2022-05-02 11:45:59,R_2cC8rjTvdNqjvJx,,,,,50.3348,-4.7593,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,3,4,1511,1,4,,3,41,5,5c7bc14c5a66930001243b00,2
2022-05-02 11:43:49,2022-05-02 11:46:07,0,5.69.121.242,100,138,1,2022-05-02 11:46:07,R_ZjUU1nNh7YmSs6J,,,,,55.9135,-4.4084,anonymous,EN,1,"I pay attention ",1382,4,4,1560,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,1,5992d3a6bf8bcf0001ab664e,2
2022-05-02 11:44:08,2022-05-02 11:46:10,0,80.189.250.108,100,121,1,2022-05-02 11:46:10,R_3lsh1xGXORIjCfe,,,,,51.8373,0.8174,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,5,4,1600,5,5,,1,62,3,5da1efa20b299d0017df1c0b,2
2022-05-02 11:44:11,2022-05-02 11:46:10,0,90.195.114.203,100,119,1,2022-05-02 11:46:11,R_2aFS3aeWBFcHKSW,,,,,55.6683,-2.8554,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1521,2,5,1686,1,4,,,,,,,,2,22,5,60cfcfc0911cf803000dc62d,2
2022-05-02 11:45:01,2022-05-02 11:46:13,0,82.132.231.114,100,72,1,2022-05-02 11:46:14,R_DC9y8IxR4UOfW5X,,,,,51.542,-0.2409,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1222,4,4,1330,4,5,,,,,,,,,,,,,,2,31,3,5f8ea9364cec4802021bd171,2
2022-05-02 11:44:17,2022-05-02 11:46:17,0,92.236.31.114,100,119,1,2022-05-02 11:46:17,R_0jkPCkL5wlQ7fCF,,,,,56.5292,-3.0745,anonymous,EN,1,I pay attention,1508,2,4,1628,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,5,5fb3eac8b39b0a0008124fd8,2
2022-05-02 11:42:49,2022-05-02 11:46:26,0,176.249.184.148,100,216,1,2022-05-02 11:46:26,R_2fp8BaA7otXfjvZ,,,,,53.7042,-1.6784,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1323,3,4,1500,2,4,,,,,,,,,,,,,,2,37,5,596a00f61a0f2200019a714b,2
2022-05-02 11:45:26,2022-05-02 11:47:01,0,81.137.236.222,100,95,1,2022-05-02 11:47:04,R_3MaI0z0tR36PLyj,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,1421,5,6,1617,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,4,59b69c0fb269ef000180172f,2
2022-05-02 11:44:10,2022-05-02 11:47:10,0,86.167.159.254,100,179,1,2022-05-02 11:47:10,R_29cCDCGZhXNqFiE,,,,,50.8431,-1.064,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1184,2,3,1473,2,4,,,,,,,,,,,,,,2,48,5,5d07689bad18d40001bb73c1,2
2022-05-02 11:44:43,2022-05-02 11:47:19,0,92.1.10.78,100,156,1,2022-05-02 11:47:19,R_3J4uC4UxxsZt8kY,,,,,52.5852,-0.236,anonymous,EN,1,"I pay attention ",,,,,,,1361,4,5,1642,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,4,5e43c54c1d4be4251bedd75f,2
2022-05-02 11:45:26,2022-05-02 11:47:21,0,5.67.53.191,100,115,1,2022-05-02 11:47:21,R_1I5Xq2hCueGBz1N,,,,,50.8335,-0.5464,anonymous,EN,1,i pay attention,,,,,,,1466,2,4,1638,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,4,6161a5c64cafc96b04988d3e,2
2022-05-02 11:43:44,2022-05-02 11:47:26,0,82.20.218.237,100,221,1,2022-05-02 11:47:26,R_DIsQFtfKkIK9EAh,,,,,52.25,-0.8833,anonymous,EN,1,I pay attention,1327,2,3,1623,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,5,612537a07969bc6fb1d5d070,2
2022-05-02 11:45:15,2022-05-02 11:47:29,0,86.30.105.22,100,133,1,2022-05-02 11:47:29,R_3QRjxn5ALu9i7lX,,,,,51.4566,-0.968,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1526,2,4,1648,2,4,,,,,,,,2,47,3,58d8fcb9f94de20001fbcd0d,2
2022-05-02 11:30:52,2022-05-02 11:47:30,0,188.222.119.73,100,997,1,2022-05-02 11:47:31,R_2sYfPuEpEDWpfpe,,,,,53.4044,-3.0715,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577,5,5,1661,4,4,,2,35,4,613c9a42e69e6298c8bfbd14,2
2022-05-02 11:46:00,2022-05-02 11:47:31,0,209.93.229.206,100,90,1,2022-05-02 11:47:31,R_1kLeQ720jfweu6W,,,,,53.5676,-1.584,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1330,6,5,1485,4,4,,,,,,,,,,,,,,2,29,5,596364ecbd04330001fccdf3,2
2022-05-02 11:45:20,2022-05-02 11:47:40,0,2.126.35.6,100,139,1,2022-05-02 11:47:40,R_31ARqK5XpcOaGIS,,,,,51.2105,-1.5001,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1355,3,4,1461,1,5,,,,,,,,,,,,,,,,,,,,2,30,5,61732398300543fd6936d9f5,2
2022-05-02 11:45:50,2022-05-02 11:47:47,0,81.98.135.19,100,116,1,2022-05-02 11:47:47,R_1EaMTPOAWDTRVH1,,,,,52.9538,-1.1571,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1500,3,5,1673,4,5,,,,,,,,2,27,6,5ab94e8cf69e940001d8fd25,2
2022-05-02 11:43:39,2022-05-02 11:47:54,0,94.9.234.17,100,254,1,2022-05-02 11:47:54,R_3NCie5nL0aHMTgM,,,,,54.5571,-3.5903,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,2,3,1700,6,5,,1,35,5,61fa913ed42cb19beec49321,2
2022-05-02 11:45:20,2022-05-02 11:47:54,0,95.144.107.157,100,154,1,2022-05-02 11:47:54,R_3QERHJSb2UKqUVq,,,,,51.5892,0.0699,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1350,5,3,1504,8,4,,,,,,,,,,,,,,2,26,6,6118143e3c87cb99af12966f,2
2022-05-02 11:45:47,2022-05-02 11:47:58,0,188.221.35.46,100,130,1,2022-05-02 11:47:58,R_Yb5rR76g3O1xzH3,,,,,53.4067,-2.5637,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1525,4,4,1569,3,3,,,,,,,,2,47,5,61281ceabca58f9ca90ef4fc,2
2022-05-02 11:44:52,2022-05-02 11:47:58,0,81.132.58.233,100,186,1,2022-05-02 11:47:59,R_PTdPJQNTZNpxuN3,,,,,53.9275,-3.0053,anonymous,EN,1,"I pay attention ",1500,2,4,1500,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,3,5dd2ccb118beb62d260e6747,2
2022-05-02 11:44:08,2022-05-02 11:48:03,0,86.185.37.17,100,234,1,2022-05-02 11:48:03,R_1OTTKeaFYHdNVkf,,,,,57.6533,-3.3219,anonymous,EN,1,I pay attention,,,,,,,1227,1,3,1558,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,2,5a9a9a5335237b0001129318,2
2022-05-02 11:44:55,2022-05-02 11:48:07,0,81.141.131.110,100,192,1,2022-05-02 11:48:08,R_2uPsUfJSNpDVGvE,,,,,53.2558,-1.4292,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,1,3,1630,3,3,,2,24,2,5f4a51981e77f004cc1a0b64,2
2022-05-02 11:44:57,2022-05-02 11:48:08,0,90.197.182.99,100,191,1,2022-05-02 11:48:09,R_21B1kVG9MGHaPug,,,,,51.7864,0.5998,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1803,4,4,1500,5,3,,,,,,,,,,,,,,,,,,,,2,55,3,5e36f262185582000ae281b4,2
2022-05-02 11:45:47,2022-05-02 11:48:09,0,82.43.180.55,100,142,1,2022-05-02 11:48:10,R_1n28y2XIoa7lKmj,,,,,53.6393,-1.5249,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1323,5,5,1400,4,4,,,,,,,,,,,,,,2,32,6,5e41d56250cd36000ac74d1e,2
2022-05-02 11:46:05,2022-05-02 11:48:13,0,46.64.190.63,100,128,1,2022-05-02 11:48:14,R_2VwJdXbFzpJp83x,,,,,53.4834,-2.0596,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,1,4,1713,1,6,,2,44,5,5ebbea369da72a018c463ed4,2
2022-05-02 11:45:49,2022-05-02 11:48:19,0,86.132.154.72,100,150,1,2022-05-02 11:48:20,R_3p2Urq5WSEoVEnA,,,,,54.6455,-6.2494,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1332,5,4,1500,4,5,,,,,,,,,,,,,,,,,,,,2,59,2,5aac615eb8bbc90001394731,2
2022-05-02 11:42:56,2022-05-02 11:48:22,0,148.252.128.106,100,325,1,2022-05-02 11:48:22,R_1f2GcsBwPI6pm8Y,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,1400,2,4,1625,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,5,5e23554c114df8614f53cb3e,2
2022-05-02 11:46:10,2022-05-02 11:48:48,0,86.133.255.251,100,158,1,2022-05-02 11:48:48,R_1Oiy8pmcGc8Vn12,,,,,52.11,-1.048,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,5,6,1700,5,6,,2,50,2,5d7fea714477a000012cc297,2
2022-05-02 11:45:51,2022-05-02 11:49:08,0,31.53.225.103,100,197,1,2022-05-02 11:49:08,R_2y0YF5EobjFat1z,,,,,50.8335,-0.5464,anonymous,EN,1,"I pay attention ",,,,,,,1452,5,5,1600,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,8,5f04a3571d12807453322e72,2
2022-05-02 11:45:23,2022-05-02 11:49:20,0,194.75.87.60,100,236,1,2022-05-02 11:49:20,R_1hMztQFmePkESnk,,,,,51.7385,-2.2194,anonymous,EN,1,"I pay attention ",1375,5,5,1600,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,5,6123b12f54cc7365f7dbb80d,2
2022-05-02 11:46:03,2022-05-02 11:49:36,0,86.19.160.167,100,212,1,2022-05-02 11:49:36,R_1d4Z9crikRRaoym,,,,,55.503,-4.597,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1333,8,8,1489,8,8,,,,,,,,,,,,,,2,68,5,5e68b5e1857da315e3b0f06a,2
2022-05-02 11:44:16,2022-05-02 11:49:45,0,109.158.29.201,100,328,1,2022-05-02 11:49:45,R_3CWoXNUZm47IDsL,,,,,54.0958,-2.2814,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1511,3,4,1665,4,4,,,,,,,,2,46,6,5f985f3a4bc1cf120675f408,2
2022-05-02 11:47:03,2022-05-02 11:49:58,0,86.170.129.115,100,175,1,2022-05-02 11:49:59,R_r7wn7Svc5YXSyKl,,,,,51.5975,-0.1915,anonymous,EN,1,I pay attention,1400,4,5,1652,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54,6,5ea806dea2d63e011f551ef6,2
2022-05-02 11:43:18,2022-05-02 11:50:09,0,5.68.148.191,100,410,1,2022-05-02 11:50:10,R_CekUtxJP3vw5VCN,,,,,51.8843,1.009,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1300,6,5,1449,3,4,,,,,,,,,,,,,,,,,,,,2,22,5,5e6e244a1814a43cc31f430a,2
2022-05-02 11:45:52,2022-05-02 11:50:21,0,90.246.2.75,100,269,1,2022-05-02 11:50:21,R_31a8oPMzrSH2HVd,,,,,53.8226,-1.568,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527,3,3,1668,4,4,,2,34,4,5fa93434da1f2403bd803a43,2
2022-05-02 11:45:04,2022-05-02 11:50:27,0,80.6.184.23,100,323,1,2022-05-02 11:50:28,R_3n01J4DYNzNVDbw,,,,,55.503,-4.597,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1328,5,5,1472,5,5,,,,,,,,,,,,,,,,,,,,2,29,5,5ec058a657050d3186bdb3d3,2
2022-05-02 11:48:04,2022-05-02 11:50:39,0,86.151.123.18,100,155,1,2022-05-02 11:50:39,R_3CUW1Yf3rCgi5Lw,,,,,54.1287,-1.4363,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1332,6,6,1482,4,4,,,,,,,,,,,,,,1,48,5,6074402e5037d235f384e046,2
2022-05-02 11:44:17,2022-05-02 11:50:42,0,80.189.240.174,100,384,1,2022-05-02 11:50:42,R_SCsb6HczKbP0Vbz,,,,,53.7287,-2.6559,anonymous,EN,1,"I pay attention ",,,,,,,1438,4,4,1617,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,5,623474bd58035e7cd84b7500,2
2022-05-02 11:44:38,2022-05-02 11:50:45,0,86.5.200.128,100,367,1,2022-05-02 11:50:45,R_2YFxERXwAgZfPJ0,,,,,52.3966,-0.7212,anonymous,EN,1,I pay attention,1500,3,4,1617,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,5,6166c1a447914a35c8a2c195,2
2022-05-02 11:48:12,2022-05-02 11:51:04,0,51.194.187.160,100,171,1,2022-05-02 11:51:04,R_uh0joZmHAGwaehX,,,,,53.7037,-1.639,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1518,3,4,1666,4,4,,,,,,,,1,37,2,5f709bd12fcbfe673d756220,2
2022-05-02 11:49:55,2022-05-02 11:51:11,0,87.81.26.11,100,76,1,2022-05-02 11:51:11,R_PwALdnjA4k96Igh,,,,,53.1346,-1.2489,anonymous,EN,1,I pay attention,1441,5,4,1554,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,3,58c96ae35d4292000141491d,2
2022-05-02 11:48:58,2022-05-02 11:51:21,0,213.205.242.153,100,142,1,2022-05-02 11:51:21,R_rlny9HpTY6cJepz,,,,,52.455,-1.8641,anonymous,EN,1,I PAY ATTENTION,,,,,,,,,,,,,1275,4,4,1683,1,4,,,,,,,,,,,,,,,,,,,,1,44,2,5e1297656e8aab8e8a1b3b76,2
2022-05-02 11:47:21,2022-05-02 11:51:48,0,2.98.97.132,100,266,1,2022-05-02 11:51:48,R_3svOyRBsKd1d2vF,,,,,51.3571,-2.2584,anonymous,EN,1,I pay attention,,,,,,,1430,5,4,1614,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,2,5ae6054c58af2400010a45b6,2
2022-05-02 11:45:09,2022-05-02 11:51:54,0,82.4.13.165,100,404,1,2022-05-02 11:51:54,R_2WVjQyBSDF91rjT,,,,,52.9234,-1.4725,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1345,3,4,1492,5,4,,,,,,,,,,,,,,,,,,,,2,26,5,60d9f1f5e766b5f3eb00a7c4,2
2022-05-02 11:49:24,2022-05-02 11:51:55,0,31.205.117.254,100,150,1,2022-05-02 11:51:55,R_3QPhEqPBdkX3btF,,,,,51.4781,-0.0279,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1585,5,4,1699,6,4,,,,,,,,1,22,5,6101765176223559300fb42f,2
2022-05-02 11:48:53,2022-05-02 11:51:57,0,84.70.188.18,100,183,1,2022-05-02 11:51:57,R_cucCiwyS29OsW41,,,,,51.456,-0.0611,anonymous,EN,1,i pay attention,,,,,,,1501,2,4,1600,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,2,5cc86691ac689b0001118e90,2
2022-05-02 11:50:35,2022-05-02 11:51:57,0,46.64.131.135,100,81,1,2022-05-02 11:51:58,R_esKraOL0h5BQV5n,,,,,52.4141,-0.5216,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,4,4,1673,4,5,,1,32,3,5eced49f680aa62e1e265eee,2
2022-05-02 11:45:39,2022-05-02 11:52:02,0,51.7.253.98,100,383,1,2022-05-02 11:52:02,R_6fbgQeLTDlgMfSh,,,,,53.552,-1.4872,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1572,6,5,1600,8,5,,,,,,,,1,26,5,5b170586c9d3cb00010fda70,2
2022-05-02 11:50:46,2022-05-02 11:52:14,0,86.19.37.211,100,88,1,2022-05-02 11:52:14,R_31HIUa1363EkHdH,,,,,52.4391,-1.5039,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1328,5,4,1501,2,5,,,,,,,,,,,,,,1,19,2,5f2c0173c2a0880139c1edae,2
2022-05-02 11:50:06,2022-05-02 11:52:14,0,94.2.10.83,100,128,1,2022-05-02 11:52:15,R_1n72PXzhXhzae4R,,,,,53.4957,-2.088,anonymous,EN,1,"I pay attention ",1653,5,6,1372,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,2,5d67f7470b04ed00010ff8fe,2
2022-05-02 11:48:35,2022-05-02 11:52:41,0,209.93.244.168,100,245,1,2022-05-02 11:52:42,R_1CBgN0XCjdiLgtJ,,,,,53.3202,-2.1413,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,1314,4,5,1475,4,5,,,,,,,,,,,,,,1,41,3,566e1aec744e3e0005b4e668,2
2022-05-02 11:50:29,2022-05-02 11:52:58,0,176.250.225.109,100,148,1,2022-05-02 11:52:58,R_24N8zK78uiDu7GP,,,,,51.9037,-2.0848,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,6,6,1852,4,4,,1,18,3,5f181c1f4a29c50e1fd07923,2
2022-05-02 11:51:00,2022-05-02 11:53:14,0,78.151.223.74,100,134,1,2022-05-02 11:53:14,R_2dRBPMvhTJ0qvDX,,,,,55.9649,-2.9456,anonymous,EN,1,I pay attention,1531,4,5,1445,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66,6,5f0766baa1aa2f12767758cd,2
2022-05-02 11:51:03,2022-05-02 11:53:23,0,2.28.141.162,100,140,1,2022-05-02 11:53:24,R_1IFZ9CIuxzNUXKZ,,,,,53.5762,-0.7391,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,,,,,,,1532,3,3,1680,3,3,,,,,,,,1,29,5,5c3ef42b82596200019d75c0,2
2022-05-02 11:47:44,2022-05-02 11:53:28,0,92.232.117.83,100,343,1,2022-05-02 11:53:29,R_3MQdXD6ASvlZhHa,,,,,53.552,-1.4872,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,2,4,1700,4,4,,1,46,3,5f581e67a65b023913f667e8,2
2022-05-02 11:51:24,2022-05-02 11:53:28,0,92.40.178.174,100,124,1,2022-05-02 11:53:29,R_2UbXIF0Kk1hdGia,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,,,,,,,1345,4,4,1509,4,4,,,,,,,,,,,,,,,,,,,,1,38,4,5a5f9560ac56240001543637,2
2022-05-02 11:48:58,2022-05-02 11:53:29,0,85.210.39.5,100,271,1,2022-05-02 11:53:30,R_3Ges0HWdXXsRge2,,,,,52.9538,-1.1571,anonymous,EN,1,I pay attention,,,,,,,1423,6,5,1624,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,5,5b8a709614e8c6000104eafa,2
2022-05-02 11:51:54,2022-05-02 11:53:38,0,147.147.238.32,100,104,1,2022-05-02 11:53:39,R_3CCyRbKs6EKbFVA,,,,,58.9705,-2.9655,anonymous,EN,1,I pay attention,,,,,,,1400,6,4,1600,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,4,608d74791c7dbdfe879575d9,2
2022-05-02 11:51:52,2022-05-02 11:53:40,0,92.18.41.230,100,107,1,2022-05-02 11:53:40,R_3oyAJei88SR7bgO,,,,,51.8167,-0.8055,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1514,4,5,1669,3,4,,,,,,,,1,28,5,5e10fb772e47257c16e19607,2
2022-05-02 11:52:56,2022-05-02 11:54:30,0,82.21.8.73,100,93,1,2022-05-02 11:54:30,R_1gT5ZWVPPMm5Vgo,,,,,54.5585,-1.1476,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,1351,3,3,1469,2,4,,,,,,,,,,,,,,,,,,,,1,52,5,5b7859413c1375000197d844,2
2022-05-02 11:47:46,2022-05-02 11:54:36,0,88.110.103.223,100,409,1,2022-05-02 11:54:36,R_cXPrYc7tk8Ia2mR,,,,,55.8892,-4.2351,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,,,,,,,1348,3,4,1487,4,4,,,,,,,,,,,,,,1,18,2,609fa1421d23b45a8e8c47ef,2
2022-05-02 11:52:10,2022-05-02 11:55:10,0,82.47.39.17,100,179,1,2022-05-02 11:55:10,R_3L1pzsNmT6zmmrY,,,,,52.6261,1.3034,anonymous,EN,1,i pay attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293,3,3,1249,3,4,,1,59,2,6229e14b090a9d3045c50e1d,2
2022-05-02 11:53:53,2022-05-02 11:55:17,0,150.143.158.113,100,83,1,2022-05-02 11:55:17,R_1mV4AtR0fA4NnX0,,,,,51.4964,-0.1224,anonymous,EN,1,I pay attention,,,,,,,1420,5,5,1625,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,5,56a9057a119265000b6e12ee,2
2022-05-02 11:51:20,2022-05-02 11:55:39,0,86.11.246.42,100,258,1,2022-05-02 11:55:39,R_xaAQ1ZOZ73zqWul,,,,,50.8358,-1.0619,anonymous,EN,1,I pay attention,1425,5,6,1625,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,58,5,5dcc2835e50faf8c303e7484,2
2022-05-02 11:54:21,2022-05-02 11:55:57,0,88.98.94.171,100,95,1,2022-05-02 11:55:58,R_2zBaiHgEf6TIeVB,,,,,51.536,-0.0925,anonymous,EN,1,I pay attention,,,,,,,,,,,,,,,,,,,,,,,,,1527,6,5,1651,5,5,,,,,,,,1,44,6,5870a098da731b000104a3ff,2
